nagyobbakban	nagy	Afc-p2	1
￼	￼	Afc-p9----s3s	1
￼	￼	Afc-pa	1
￼	￼	Afc-pa------p	1
￼	￼	Afc-pa------s	1
￼	￼	Afc-pa----p1	1
￼	￼	Afc-pa----p1p	1
￼	￼	Afc-pa----p1s	1
￼	￼	Afc-pa----p2	1
￼	￼	Afc-pa----p2p	1
￼	￼	Afc-pa----p2s	1
￼	￼	Afc-pa----p3	1
￼	￼	Afc-pa----p3p	1
￼	￼	Afc-pa----p3s	1
￼	￼	Afc-pa----s1	1
￼	￼	Afc-pa----s1p	1
￼	￼	Afc-pa----s1s	1
￼	￼	Afc-pa----s2	1
￼	￼	Afc-pa----s2p	1
￼	￼	Afc-pa----s2s	1
￼	￼	Afc-pa----s3	1
￼	￼	Afc-pa----s3p	1
￼	￼	Afc-pa----s3s	1
￼	￼	Afc-pb	1
￼	￼	Afc-pb------p	1
￼	￼	Afc-pb------s	1
￼	￼	Afc-pb----p1	1
￼	￼	Afc-pb----p1p	1
￼	￼	Afc-pb----p1s	1
￼	￼	Afc-pb----p2	1
￼	￼	Afc-pb----p2p	1
￼	￼	Afc-pb----p2s	1
￼	￼	Afc-pb----p3	1
￼	￼	Afc-pb----p3p	1
￼	￼	Afc-pb----p3s	1
￼	￼	Afc-pb----s1	1
￼	￼	Afc-pb----s1p	1
￼	￼	Afc-pb----s1s	1
￼	￼	Afc-pb----s2	1
￼	￼	Afc-pb----s2p	1
￼	￼	Afc-pb----s2s	1
￼	￼	Afc-pb----s3	1
￼	￼	Afc-pb----s3p	1
￼	￼	Afc-pb----s3s	1
￼	￼	Afc-pc	1
￼	￼	Afc-pc------p	1
￼	￼	Afc-pc------s	1
￼	￼	Afc-pc----p1	1
￼	￼	Afc-pc----p1p	1
￼	￼	Afc-pc----p1s	1
￼	￼	Afc-pc----p2	1
￼	￼	Afc-pc----p2p	1
￼	￼	Afc-pc----p2s	1
￼	￼	Afc-pc----p3	1
￼	￼	Afc-pc----p3p	1
￼	￼	Afc-pc----p3s	1
￼	￼	Afc-pc----s1	1
￼	￼	Afc-pc----s1p	1
￼	￼	Afc-pc----s1s	1
￼	￼	Afc-pc----s2	1
￼	￼	Afc-pc----s2p	1
￼	￼	Afc-pc----s2s	1
￼	￼	Afc-pc----s3	1
￼	￼	Afc-pc----s3p	1
￼	￼	Afc-pc----s3s	1
kisebbeknek	kis	Afc-pd	3
kedvezőbbeknek	kedvező	Afc-pd	3
fiatalabbaknak	fiatal	Afc-pd	3
￼	￼	Afc-pd------p	1
￼	￼	Afc-pd------s	1
￼	￼	Afc-pd----p1	1
￼	￼	Afc-pd----p1p	1
￼	￼	Afc-pd----p1s	1
￼	￼	Afc-pd----p2	1
￼	￼	Afc-pd----p2p	1
￼	￼	Afc-pd----p2s	1
￼	￼	Afc-pd----p3	1
￼	￼	Afc-pd----p3p	1
￼	￼	Afc-pd----p3s	1
￼	￼	Afc-pd----s1	1
￼	￼	Afc-pd----s1p	1
￼	￼	Afc-pd----s1s	1
￼	￼	Afc-pd----s2	1
￼	￼	Afc-pd----s2p	1
￼	￼	Afc-pd----s2s	1
￼	￼	Afc-pd----s3	1
￼	￼	Afc-pd----s3p	1
￼	￼	Afc-pd----s3s	1
￼	￼	Afc-pe	1
￼	￼	Afc-pe------p	1
￼	￼	Afc-pe------s	1
￼	￼	Afc-pe----p1	1
￼	￼	Afc-pe----p1p	1
￼	￼	Afc-pe----p1s	1
￼	￼	Afc-pe----p2	1
￼	￼	Afc-pe----p2p	1
￼	￼	Afc-pe----p2s	1
￼	￼	Afc-pe----p3	1
￼	￼	Afc-pe----p3p	1
￼	￼	Afc-pe----p3s	1
￼	￼	Afc-pe----s1	1
￼	￼	Afc-pe----s1p	1
￼	￼	Afc-pe----s1s	1
￼	￼	Afc-pe----s2	1
￼	￼	Afc-pe----s2p	1
￼	￼	Afc-pe----s2s	1
￼	￼	Afc-pe----s3	1
￼	￼	Afc-pe----s3p	1
￼	￼	Afc-pe----s3s	1
￼	￼	Afc-pf	1
￼	￼	Afc-pf------p	1
￼	￼	Afc-pf------s	1
￼	￼	Afc-pf----p1	1
￼	￼	Afc-pf----p1p	1
￼	￼	Afc-pf----p1s	1
￼	￼	Afc-pf----p2	1
￼	￼	Afc-pf----p2p	1
￼	￼	Afc-pf----p2s	1
￼	￼	Afc-pf----p3	1
￼	￼	Afc-pf----p3p	1
￼	￼	Afc-pf----p3s	1
￼	￼	Afc-pf----s1	1
￼	￼	Afc-pf----s1p	1
￼	￼	Afc-pf----s1s	1
￼	￼	Afc-pf----s2	1
￼	￼	Afc-pf----s2p	1
￼	￼	Afc-pf----s2s	1
￼	￼	Afc-pf----s3	1
￼	￼	Afc-pf----s3p	1
￼	￼	Afc-pf----s3s	1
￼	￼	Afc-pg	1
￼	￼	Afc-pg------p	1
￼	￼	Afc-pg------s	1
￼	￼	Afc-pg----p1	1
￼	￼	Afc-pg----p1p	1
￼	￼	Afc-pg----p1s	1
￼	￼	Afc-pg----p2	1
￼	￼	Afc-pg----p2p	1
￼	￼	Afc-pg----p2s	1
￼	￼	Afc-pg----p3	1
￼	￼	Afc-pg----p3p	1
￼	￼	Afc-pg----p3s	1
￼	￼	Afc-pg----s1	1
￼	￼	Afc-pg----s1p	1
￼	￼	Afc-pg----s1s	1
￼	￼	Afc-pg----s2	1
￼	￼	Afc-pg----s2p	1
￼	￼	Afc-pg----s2s	1
￼	￼	Afc-pg----s3	1
￼	￼	Afc-pg----s3p	1
￼	￼	Afc-pg----s3s	1
￼	￼	Afc-ph	1
￼	￼	Afc-ph------p	1
￼	￼	Afc-ph------s	1
￼	￼	Afc-ph----p1	1
￼	￼	Afc-ph----p1p	1
￼	￼	Afc-ph----p1s	1
￼	￼	Afc-ph----p2	1
￼	￼	Afc-ph----p2p	1
￼	￼	Afc-ph----p2s	1
￼	￼	Afc-ph----p3	1
￼	￼	Afc-ph----p3p	1
￼	￼	Afc-ph----p3s	1
￼	￼	Afc-ph----s1	1
￼	￼	Afc-ph----s1p	1
￼	￼	Afc-ph----s1s	1
￼	￼	Afc-ph----s2	1
￼	￼	Afc-ph----s2p	1
￼	￼	Afc-ph----s2s	1
￼	￼	Afc-ph----s3	1
￼	￼	Afc-ph----s3p	1
￼	￼	Afc-ph----s3s	1
￼	￼	Afc-pi	1
￼	￼	Afc-pi------p	1
￼	￼	Afc-pi------s	1
￼	￼	Afc-pi----p1	1
￼	￼	Afc-pi----p1p	1
￼	￼	Afc-pi----p1s	1
￼	￼	Afc-pi----p2	1
￼	￼	Afc-pi----p2p	1
￼	￼	Afc-pi----p2s	1
￼	￼	Afc-pi----p3	1
￼	￼	Afc-pi----p3p	1
￼	￼	Afc-pi----p3s	1
￼	￼	Afc-pi----s1	1
￼	￼	Afc-pi----s1p	1
￼	￼	Afc-pi----s1s	1
￼	￼	Afc-pi----s2	1
￼	￼	Afc-pi----s2p	1
￼	￼	Afc-pi----s2s	1
￼	￼	Afc-pi----s3	1
￼	￼	Afc-pi----s3p	1
￼	￼	Afc-pi----s3s	1
￼	￼	Afc-pm	1
￼	￼	Afc-pm------p	1
￼	￼	Afc-pm------s	1
￼	￼	Afc-pm----p1	1
￼	￼	Afc-pm----p1p	1
￼	￼	Afc-pm----p1s	1
￼	￼	Afc-pm----p2	1
￼	￼	Afc-pm----p2p	1
￼	￼	Afc-pm----p2s	1
￼	￼	Afc-pm----p3	1
￼	￼	Afc-pm----p3p	1
￼	￼	Afc-pm----p3s	1
￼	￼	Afc-pm----s1	1
￼	￼	Afc-pm----s1p	1
￼	￼	Afc-pm----s1s	1
￼	￼	Afc-pm----s2	1
￼	￼	Afc-pm----s2p	1
￼	￼	Afc-pm----s2s	1
￼	￼	Afc-pm----s3	1
￼	￼	Afc-pm----s3p	1
￼	￼	Afc-pm----s3s	1
zsúfoltabbak	zsúfolt	Afc-pn	30
vastagabbak	vastag	Afc-pn	30
újabbak	új	Afc-pn	30
rosszabbak	rossz	Afc-pn	30
reménytelenebbek	reménytelen	Afc-pn	30
￼	￼	Afc-pn------p	1
fontosabbaké	fontos	Afc-pn------s	1
￼	￼	Afc-pn----p1	1
￼	￼	Afc-pn----p1p	1
￼	￼	Afc-pn----p1s	1
￼	￼	Afc-pn----p2	1
￼	￼	Afc-pn----p2p	1
￼	￼	Afc-pn----p2s	1
￼	￼	Afc-pn----p3	1
￼	￼	Afc-pn----p3p	1
￼	￼	Afc-pn----p3s	1
￼	￼	Afc-pn----s1	1
￼	￼	Afc-pn----s1p	1
￼	￼	Afc-pn----s1s	1
￼	￼	Afc-pn----s2	1
￼	￼	Afc-pn----s2p	1
￼	￼	Afc-pn----s2s	1
￼	￼	Afc-pn----s3	1
￼	￼	Afc-pn----s3p	1
￼	￼	Afc-pn----s3s	1
kisebbeken	kis	Afc-pp	1
￼	￼	Afc-pp------p	1
￼	￼	Afc-pp------s	1
￼	￼	Afc-pp----p1	1
￼	￼	Afc-pp----p1p	1
￼	￼	Afc-pp----p1s	1
￼	￼	Afc-pp----p2	1
￼	￼	Afc-pp----p2p	1
￼	￼	Afc-pp----p2s	1
￼	￼	Afc-pp----p3	1
￼	￼	Afc-pp----p3p	1
￼	￼	Afc-pp----p3s	1
￼	￼	Afc-pp----s1	1
￼	￼	Afc-pp----s1p	1
￼	￼	Afc-pp----s1s	1
￼	￼	Afc-pp----s2	1
￼	￼	Afc-pp----s2p	1
￼	￼	Afc-pp----s2s	1
￼	￼	Afc-pp----s3	1
￼	￼	Afc-pp----s3p	1
￼	￼	Afc-pp----s3s	1
￼	￼	Afc-pq	1
￼	￼	Afc-pq------p	1
￼	￼	Afc-pq------s	1
￼	￼	Afc-pq----p1	1
￼	￼	Afc-pq----p1p	1
￼	￼	Afc-pq----p1s	1
￼	￼	Afc-pq----p2	1
￼	￼	Afc-pq----p2p	1
￼	￼	Afc-pq----p2s	1
￼	￼	Afc-pq----p3	1
￼	￼	Afc-pq----p3p	1
￼	￼	Afc-pq----p3s	1
￼	￼	Afc-pq----s1	1
￼	￼	Afc-pq----s1p	1
￼	￼	Afc-pq----s1s	1
￼	￼	Afc-pq----s2	1
￼	￼	Afc-pq----s2p	1
￼	￼	Afc-pq----s2s	1
￼	￼	Afc-pq----s3	1
￼	￼	Afc-pq----s3p	1
￼	￼	Afc-pq----s3s	1
￼	￼	Afc-ps	1
￼	￼	Afc-ps------p	1
￼	￼	Afc-ps------s	1
￼	￼	Afc-ps----p1	1
￼	￼	Afc-ps----p1p	1
￼	￼	Afc-ps----p1s	1
￼	￼	Afc-ps----p2	1
￼	￼	Afc-ps----p2p	1
￼	￼	Afc-ps----p2s	1
￼	￼	Afc-ps----p3	1
￼	￼	Afc-ps----p3p	1
￼	￼	Afc-ps----p3s	1
￼	￼	Afc-ps----s1	1
￼	￼	Afc-ps----s1p	1
￼	￼	Afc-ps----s1s	1
￼	￼	Afc-ps----s2	1
￼	￼	Afc-ps----s2p	1
￼	￼	Afc-ps----s2s	1
￼	￼	Afc-ps----s3	1
￼	￼	Afc-ps----s3p	1
￼	￼	Afc-ps----s3s	1
￼	￼	Afc-pt	1
￼	￼	Afc-pt------p	1
￼	￼	Afc-pt------s	1
￼	￼	Afc-pt----p1	1
￼	￼	Afc-pt----p1p	1
￼	￼	Afc-pt----p1s	1
￼	￼	Afc-pt----p2	1
￼	￼	Afc-pt----p2p	1
￼	￼	Afc-pt----p2s	1
￼	￼	Afc-pt----p3	1
￼	￼	Afc-pt----p3p	1
￼	￼	Afc-pt----p3s	1
￼	￼	Afc-pt----s1	1
￼	￼	Afc-pt----s1p	1
￼	￼	Afc-pt----s1s	1
￼	￼	Afc-pt----s2	1
￼	￼	Afc-pt----s2p	1
￼	￼	Afc-pt----s2s	1
￼	￼	Afc-pt----s3	1
￼	￼	Afc-pt----s3p	1
￼	￼	Afc-pt----s3s	1
￼	￼	Afc-pu	1
￼	￼	Afc-pu------p	1
￼	￼	Afc-pu------s	1
￼	￼	Afc-pu----p1	1
￼	￼	Afc-pu----p1p	1
￼	￼	Afc-pu----p1s	1
￼	￼	Afc-pu----p2	1
￼	￼	Afc-pu----p2p	1
￼	￼	Afc-pu----p2s	1
￼	￼	Afc-pu----p3	1
￼	￼	Afc-pu----p3p	1
￼	￼	Afc-pu----p3s	1
￼	￼	Afc-pu----s1	1
￼	￼	Afc-pu----s1p	1
￼	￼	Afc-pu----s1s	1
￼	￼	Afc-pu----s2	1
￼	￼	Afc-pu----s2p	1
￼	￼	Afc-pu----s2s	1
￼	￼	Afc-pu----s3	1
￼	￼	Afc-pu----s3p	1
￼	￼	Afc-pu----s3s	1
￼	￼	Afc-pw	1
￼	￼	Afc-pw------p	1
￼	￼	Afc-pw------s	1
￼	￼	Afc-pw----p1	1
￼	￼	Afc-pw----p1p	1
￼	￼	Afc-pw----p1s	1
￼	￼	Afc-pw----p2	1
￼	￼	Afc-pw----p2p	1
￼	￼	Afc-pw----p2s	1
￼	￼	Afc-pw----p3	1
￼	￼	Afc-pw----p3p	1
￼	￼	Afc-pw----p3s	1
￼	￼	Afc-pw----s1	1
￼	￼	Afc-pw----s1p	1
￼	￼	Afc-pw----s1s	1
￼	￼	Afc-pw----s2	1
￼	￼	Afc-pw----s2p	1
￼	￼	Afc-pw----s2s	1
￼	￼	Afc-pw----s3	1
￼	￼	Afc-pw----s3p	1
￼	￼	Afc-pw----s3s	1
￼	￼	Afc-px	1
￼	￼	Afc-px------p	1
￼	￼	Afc-px------s	1
￼	￼	Afc-px----p1	1
￼	￼	Afc-px----p1p	1
￼	￼	Afc-px----p1s	1
￼	￼	Afc-px----p2	1
￼	￼	Afc-px----p2p	1
￼	￼	Afc-px----p2s	1
￼	￼	Afc-px----p3	1
￼	￼	Afc-px----p3p	1
￼	￼	Afc-px----p3s	1
￼	￼	Afc-px----s1	1
￼	￼	Afc-px----s1p	1
￼	￼	Afc-px----s1s	1
￼	￼	Afc-px----s2	1
￼	￼	Afc-px----s2p	1
￼	￼	Afc-px----s2s	1
￼	￼	Afc-px----s3	1
￼	￼	Afc-px----s3p	1
￼	￼	Afc-px----s3s	1
￼	￼	Afc-py	1
￼	￼	Afc-py------p	1
￼	￼	Afc-py------s	1
￼	￼	Afc-py----p1	1
￼	￼	Afc-py----p1p	1
￼	￼	Afc-py----p1s	1
￼	￼	Afc-py----p2	1
￼	￼	Afc-py----p2p	1
￼	￼	Afc-py----p2s	1
￼	￼	Afc-py----p3	1
￼	￼	Afc-py----p3p	1
￼	￼	Afc-py----p3s	1
￼	￼	Afc-py----s1	1
￼	￼	Afc-py----s1p	1
￼	￼	Afc-py----s1s	1
￼	￼	Afc-py----s2	1
￼	￼	Afc-py----s2p	1
￼	￼	Afc-py----s2s	1
￼	￼	Afc-py----s3	1
￼	￼	Afc-py----s3p	1
￼	￼	Afc-py----s3s	1
világosabban	világos	Afc-s2	55
újabban	új	Afc-s2	55
tökéletesebben	tökéletes	Afc-s2	55
tárgyilagosabban	tárgyilagos	Afc-s2	55
szorosabban	szoros	Afc-s2	55
￼	￼	Afc-s2------p	1
￼	￼	Afc-s2------s	1
￼	￼	Afc-s2----p1	1
￼	￼	Afc-s2----p1p	1
￼	￼	Afc-s2----p1s	1
￼	￼	Afc-s2----p2	1
￼	￼	Afc-s2----p2p	1
￼	￼	Afc-s2----p2s	1
￼	￼	Afc-s2----p3	1
￼	￼	Afc-s2----p3p	1
￼	￼	Afc-s2----p3s	1
￼	￼	Afc-s2----s1	1
￼	￼	Afc-s2----s1p	1
￼	￼	Afc-s2----s1s	1
￼	￼	Afc-s2----s2	1
￼	￼	Afc-s2----s2p	1
￼	￼	Afc-s2----s2s	1
￼	￼	Afc-s2----s3	1
￼	￼	Afc-s2----s3p	1
￼	￼	Afc-s2----s3s	1
￼	￼	Afc-s3	1
￼	￼	Afc-s3------p	1
￼	￼	Afc-s3------s	1
￼	￼	Afc-s3----p1	1
￼	￼	Afc-s3----p1p	1
￼	￼	Afc-s3----p1s	1
￼	￼	Afc-s3----p2	1
￼	￼	Afc-s3----p2p	1
￼	￼	Afc-s3----p2s	1
￼	￼	Afc-s3----p3	1
￼	￼	Afc-s3----p3p	1
￼	￼	Afc-s3----p3s	1
￼	￼	Afc-s3----s1	1
￼	￼	Afc-s3----s1p	1
￼	￼	Afc-s3----s1s	1
￼	￼	Afc-s3----s2	1
￼	￼	Afc-s3----s2p	1
￼	￼	Afc-s3----s2s	1
￼	￼	Afc-s3----s3	1
￼	￼	Afc-s3----s3p	1
￼	￼	Afc-s3----s3s	1
￼	￼	Afc-s9	1
￼	￼	Afc-s9------p	1
￼	￼	Afc-s9------s	1
￼	￼	Afc-s9----p1	1
￼	￼	Afc-s9----p1p	1
￼	￼	Afc-s9----p1s	1
￼	￼	Afc-s9----p2	1
￼	￼	Afc-s9----p2p	1
￼	￼	Afc-s9----p2s	1
￼	￼	Afc-s9----p3	1
￼	￼	Afc-s9----p3p	1
￼	￼	Afc-s9----p3s	1
￼	￼	Afc-s9----s1	1
￼	￼	Afc-s9----s1p	1
￼	￼	Afc-s9----s1s	1
￼	￼	Afc-s9----s2	1
￼	￼	Afc-s9----s2p	1
￼	￼	Afc-s9----s2s	1
￼	￼	Afc-s9----s3	1
￼	￼	Afc-s9----s3p	1
￼	￼	Afc-s9----s3s	1
újabbat	új	Afc-sa	9
rosszabbat	rossz	Afc-sa	9
nehezebbet	nehéz	Afc-sa	9
nagyobbat	nagy	Afc-sa	9
melegebbet	meleg	Afc-sa	9
￼	￼	Afc-sa------p	1
￼	￼	Afc-sa------s	1
￼	￼	Afc-sa----p1	1
￼	￼	Afc-sa----p1p	1
￼	￼	Afc-sa----p1s	1
￼	￼	Afc-sa----p2	1
￼	￼	Afc-sa----p2p	1
￼	￼	Afc-sa----p2s	1
￼	￼	Afc-sa----p3	1
￼	￼	Afc-sa----p3p	1
￼	￼	Afc-sa----p3s	1
￼	￼	Afc-sa----s1	1
￼	￼	Afc-sa----s1p	1
￼	￼	Afc-sa----s1s	1
￼	￼	Afc-sa----s2	1
￼	￼	Afc-sa----s2p	1
￼	￼	Afc-sa----s2s	1
￼	￼	Afc-sa----s3	1
￼	￼	Afc-sa----s3p	1
￼	￼	Afc-sa----s3s	1
￼	￼	Afc-sb	1
￼	￼	Afc-sb------p	1
￼	￼	Afc-sb------s	1
￼	￼	Afc-sb----p1	1
￼	￼	Afc-sb----p1p	1
￼	￼	Afc-sb----p1s	1
￼	￼	Afc-sb----p2	1
￼	￼	Afc-sb----p2p	1
￼	￼	Afc-sb----p2s	1
￼	￼	Afc-sb----p3	1
￼	￼	Afc-sb----p3p	1
￼	￼	Afc-sb----p3s	1
￼	￼	Afc-sb----s1	1
￼	￼	Afc-sb----s1p	1
￼	￼	Afc-sb----s1s	1
￼	￼	Afc-sb----s2	1
￼	￼	Afc-sb----s2p	1
￼	￼	Afc-sb----s2s	1
￼	￼	Afc-sb----s3	1
￼	￼	Afc-sb----s3p	1
￼	￼	Afc-sb----s3s	1
￼	￼	Afc-sc	1
￼	￼	Afc-sc------p	1
￼	￼	Afc-sc------s	1
￼	￼	Afc-sc----p1	1
￼	￼	Afc-sc----p1p	1
￼	￼	Afc-sc----p1s	1
￼	￼	Afc-sc----p2	1
￼	￼	Afc-sc----p2p	1
￼	￼	Afc-sc----p2s	1
￼	￼	Afc-sc----p3	1
￼	￼	Afc-sc----p3p	1
￼	￼	Afc-sc----p3s	1
￼	￼	Afc-sc----s1	1
￼	￼	Afc-sc----s1p	1
￼	￼	Afc-sc----s1s	1
￼	￼	Afc-sc----s2	1
￼	￼	Afc-sc----s2p	1
￼	￼	Afc-sc----s2s	1
￼	￼	Afc-sc----s3	1
￼	￼	Afc-sc----s3p	1
￼	￼	Afc-sc----s3s	1
természetesebbnek	természetes	Afc-sd	18
sötétebbnek	sötét	Afc-sd	18
rövidebbnek	rövid	Afc-sd	18
pirosabbnak	piros	Afc-sd	18
öregebbnek	öreg	Afc-sd	18
￼	￼	Afc-sd------p	1
￼	￼	Afc-sd------s	1
￼	￼	Afc-sd----p1	1
￼	￼	Afc-sd----p1p	1
￼	￼	Afc-sd----p1s	1
￼	￼	Afc-sd----p2	1
￼	￼	Afc-sd----p2p	1
￼	￼	Afc-sd----p2s	1
￼	￼	Afc-sd----p3	1
￼	￼	Afc-sd----p3p	1
￼	￼	Afc-sd----p3s	1
￼	￼	Afc-sd----s1	1
￼	￼	Afc-sd----s1p	1
￼	￼	Afc-sd----s1s	1
￼	￼	Afc-sd----s2	1
￼	￼	Afc-sd----s2p	1
￼	￼	Afc-sd----s2s	1
￼	￼	Afc-sd----s3	1
￼	￼	Afc-sd----s3p	1
￼	￼	Afc-sd----s3s	1
illendőségből	illendő	Afc-se	1
￼	￼	Afc-se------p	1
￼	￼	Afc-se------s	1
￼	￼	Afc-se----p1	1
￼	￼	Afc-se----p1p	1
￼	￼	Afc-se----p1s	1
￼	￼	Afc-se----p2	1
￼	￼	Afc-se----p2p	1
￼	￼	Afc-se----p2s	1
￼	￼	Afc-se----p3	1
￼	￼	Afc-se----p3p	1
￼	￼	Afc-se----p3s	1
￼	￼	Afc-se----s1	1
￼	￼	Afc-se----s1p	1
￼	￼	Afc-se----s1s	1
￼	￼	Afc-se----s2	1
￼	￼	Afc-se----s2p	1
￼	￼	Afc-se----s2s	1
￼	￼	Afc-se----s3	1
￼	￼	Afc-se----s3p	1
￼	￼	Afc-se----s3s	1
￼	￼	Afc-sf	1
￼	￼	Afc-sf------p	1
￼	￼	Afc-sf------s	1
￼	￼	Afc-sf----p1	1
￼	￼	Afc-sf----p1p	1
￼	￼	Afc-sf----p1s	1
￼	￼	Afc-sf----p2	1
￼	￼	Afc-sf----p2p	1
￼	￼	Afc-sf----p2s	1
￼	￼	Afc-sf----p3	1
￼	￼	Afc-sf----p3p	1
￼	￼	Afc-sf----p3s	1
￼	￼	Afc-sf----s1	1
￼	￼	Afc-sf----s1p	1
￼	￼	Afc-sf----s1s	1
￼	￼	Afc-sf----s2	1
￼	￼	Afc-sf----s2p	1
￼	￼	Afc-sf----s2s	1
￼	￼	Afc-sf----s3	1
￼	￼	Afc-sf----s3p	1
￼	￼	Afc-sf----s3s	1
￼	￼	Afc-sg	1
￼	￼	Afc-sg------p	1
￼	￼	Afc-sg------s	1
￼	￼	Afc-sg----p1	1
￼	￼	Afc-sg----p1p	1
￼	￼	Afc-sg----p1s	1
￼	￼	Afc-sg----p2	1
￼	￼	Afc-sg----p2p	1
￼	￼	Afc-sg----p2s	1
￼	￼	Afc-sg----p3	1
￼	￼	Afc-sg----p3p	1
￼	￼	Afc-sg----p3s	1
￼	￼	Afc-sg----s1	1
￼	￼	Afc-sg----s1p	1
￼	￼	Afc-sg----s1s	1
￼	￼	Afc-sg----s2	1
￼	￼	Afc-sg----s2p	1
￼	￼	Afc-sg----s2s	1
￼	￼	Afc-sg----s3	1
￼	￼	Afc-sg----s3p	1
￼	￼	Afc-sg----s3s	1
távolabbról	távol	Afc-sh	2
mélyebbről	mély	Afc-sh	2
￼	￼	Afc-sh------p	1
￼	￼	Afc-sh------s	1
￼	￼	Afc-sh----p1	1
￼	￼	Afc-sh----p1p	1
￼	￼	Afc-sh----p1s	1
￼	￼	Afc-sh----p2	1
￼	￼	Afc-sh----p2p	1
￼	￼	Afc-sh----p2s	1
￼	￼	Afc-sh----p3	1
￼	￼	Afc-sh----p3p	1
￼	￼	Afc-sh----p3s	1
￼	￼	Afc-sh----s1	1
￼	￼	Afc-sh----s1p	1
￼	￼	Afc-sh----s1s	1
￼	￼	Afc-sh----s2	1
￼	￼	Afc-sh----s2p	1
￼	￼	Afc-sh----s2s	1
￼	￼	Afc-sh----s3	1
￼	￼	Afc-sh----s3p	1
￼	￼	Afc-sh----s3s	1
￼	￼	Afc-si	1
￼	￼	Afc-si------p	1
￼	￼	Afc-si------s	1
￼	￼	Afc-si----p1	1
￼	￼	Afc-si----p1p	1
￼	￼	Afc-si----p1s	1
￼	￼	Afc-si----p2	1
￼	￼	Afc-si----p2p	1
￼	￼	Afc-si----p2s	1
￼	￼	Afc-si----p3	1
￼	￼	Afc-si----p3p	1
￼	￼	Afc-si----p3s	1
￼	￼	Afc-si----s1	1
￼	￼	Afc-si----s1p	1
￼	￼	Afc-si----s1s	1
￼	￼	Afc-si----s2	1
￼	￼	Afc-si----s2p	1
￼	￼	Afc-si----s2s	1
￼	￼	Afc-si----s3	1
￼	￼	Afc-si----s3p	1
￼	￼	Afc-si----s3s	1
jobbkor	jó	Afc-sm	1
￼	￼	Afc-sm------p	1
￼	￼	Afc-sm------s	1
￼	￼	Afc-sm----p1	1
￼	￼	Afc-sm----p1p	1
￼	￼	Afc-sm----p1s	1
￼	￼	Afc-sm----p2	1
￼	￼	Afc-sm----p2p	1
￼	￼	Afc-sm----p2s	1
￼	￼	Afc-sm----p3	1
￼	￼	Afc-sm----p3p	1
￼	￼	Afc-sm----p3s	1
￼	￼	Afc-sm----s1	1
￼	￼	Afc-sm----s1p	1
￼	￼	Afc-sm----s1s	1
￼	￼	Afc-sm----s2	1
￼	￼	Afc-sm----s2p	1
￼	￼	Afc-sm----s2s	1
￼	￼	Afc-sm----s3	1
￼	￼	Afc-sm----s3p	1
￼	￼	Afc-sm----s3s	1
zavartabb	zavart	Afc-sn	210
visszataszítóbb	visszataszító	Afc-sn	210
visszafogottabb	visszafogott	Afc-sn	210
világosabb	világos	Afc-sn	210
vigasztalóbb	vigasztaló	Afc-sn	210
￼	￼	Afc-sn------p	1
