01N010000000100	Nc---n	Noun common -Definiteness	Noun Type=common Definiteness=no
01N010201030102	Ncfsony	Noun common feminine singular oblique -Definiteness +Clitic	Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes
01N010201030200	Ncfsoy	Noun common feminine singular oblique +Definiteness	Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=yes
01N010201030202	Ncfsoyy	Noun common feminine singular oblique +Definiteness +Clitic	Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes
01N010202000100	Ncfp-n	Noun common feminine plural -Definiteness	Noun Type=common Gender=feminine Number=plural Definiteness=no
01N010202000102	Ncfp-ny	Noun common feminine plural -Definiteness +Clitic	Noun Type=common Gender=feminine Number=plural Definiteness=no Clitic=yes
01N010202010200	Ncfpvy	Noun common feminine plural vocative +Definiteness	Noun Type=common Gender=feminine Number=plural Case=vocative Definiteness=yes
01N010202020200	Ncfpry	Noun common feminine plural direct +Definiteness	Noun Type=common Gender=feminine Number=plural Case=direct Definiteness=yes
01N010202020202	Ncfpryy	Noun common feminine plural direct +Definiteness +Clitic	Noun Type=common Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes
01N010202030200	Ncfpoy	Noun common feminine plural oblique +Definiteness	Noun Type=common Gender=feminine Number=plural Case=oblique Definiteness=yes
01N010202030202	Ncfpoyy	Noun common feminine plural oblique +Definiteness +Clitic	Noun Type=common Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes
01N020000000000	Np	Noun proper	Noun Type=proper
01N020101010100	Npmsvn	Noun proper masculine singular vocative -Definiteness	Noun Type=proper Gender=masculine Number=singular Case=vocative Definiteness=no
01N020101010200	Npmsvy	Noun proper masculine singular vocative +Definiteness	Noun Type=proper Gender=masculine Number=singular Case=vocative Definiteness=yes
01N020101020200	Npmsry	Noun proper masculine singular direct +Definiteness	Noun Type=proper Gender=masculine Number=singular Case=direct Definiteness=yes
01N020101030200	Npmsoy	Noun proper masculine singular oblique +Definiteness	Noun Type=proper Gender=masculine Number=singular Case=oblique Definiteness=yes
01N020102000100	Npmp-n	Noun proper masculine plural -Definiteness	Noun Type=proper Gender=masculine Number=plural Definiteness=no
01N020102020200	Npmpry	Noun proper masculine plural direct +Definiteness	Noun Type=proper Gender=masculine Number=plural Case=direct Definiteness=yes
01N020102030200	Npmpoy	Noun proper masculine plural oblique +Definiteness	Noun Type=proper Gender=masculine Number=plural Case=oblique Definiteness=yes
01N020201010200	Npfsvy	Noun proper feminine singular vocative +Definiteness	Noun Type=proper Gender=feminine Number=singular Case=vocative Definiteness=yes
01N020201020100	Npfsrn	Noun proper feminine singular direct -Definiteness	Noun Type=proper Gender=feminine Number=singular Case=direct Definiteness=no
01N020201020200	Npfsry	Noun proper feminine singular direct +Definiteness	Noun Type=proper Gender=feminine Number=singular Case=direct Definiteness=yes
01N020201030100	Npfson	Noun proper feminine singular oblique -Definiteness	Noun Type=proper Gender=feminine Number=singular Case=oblique Definiteness=no
01N020201030200	Npfsoy	Noun proper feminine singular oblique +Definiteness	Noun Type=proper Gender=feminine Number=singular Case=oblique Definiteness=yes
01N020202000100	Npfp-n	Noun proper feminine plural -Definiteness	Noun Type=proper Gender=feminine Number=plural Definiteness=no
01N020202020200	Npfpry	Noun proper feminine plural direct +Definiteness	Noun Type=proper Gender=feminine Number=plural Case=direct Definiteness=yes
01N020202030200	Npfpoy	Noun proper feminine plural oblique +Definiteness	Noun Type=proper Gender=feminine Number=plural Case=oblique Definiteness=yes
02V01010101010000000000	Vmip1s	Verb main indicative present first singular	Verb Type=main VForm=indicative Tense=present Person=first Number=singular
02V01010101010000000002	Vmip1s----y	Verb main indicative present first singular +Clitic	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Clitic=yes
02V01010101020000000000	Vmip1p	Verb main indicative present first plural	Verb Type=main VForm=indicative Tense=present Person=first Number=plural
02V01010101020000000002	Vmip1p----y	Verb main indicative present first plural +Clitic	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Clitic=yes
02V01010102010000000000	Vmip2s	Verb main indicative present second singular	Verb Type=main VForm=indicative Tense=present Person=second Number=singular
02V01010102010000000002	Vmip2s----y	Verb main indicative present second singular +Clitic	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Clitic=yes
02V01010102020000000000	Vmip2p	Verb main indicative present second plural	Verb Type=main VForm=indicative Tense=present Person=second Number=plural
02V01010102020000000002	Vmip2p----y	Verb main indicative present second plural +Clitic	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Clitic=yes
02V01010103000000000000	Vmip3	Verb main indicative present third	Verb Type=main VForm=indicative Tense=present Person=third
02V01010103000000000002	Vmip3-----y	Verb main indicative present third +Clitic	Verb Type=main VForm=indicative Tense=present Person=third Clitic=yes
02V01010103010000000000	Vmip3s	Verb main indicative present third singular	Verb Type=main VForm=indicative Tense=present Person=third Number=singular
02V01010103010000000002	Vmip3s----y	Verb main indicative present third singular +Clitic	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Clitic=yes
02V01010103020000000000	Vmip3p	Verb main indicative present third plural	Verb Type=main VForm=indicative Tense=present Person=third Number=plural
02V01010103020000000002	Vmip3p----y	Verb main indicative present third plural +Clitic	Verb Type=main VForm=indicative Tense=present Person=third Number=plural Clitic=yes
02V01010201000000000000	Vmii1	Verb main indicative imperfect first	Verb Type=main VForm=indicative Tense=imperfect Person=first
02V01010201000000000002	Vmii1-----y	Verb main indicative imperfect first +Clitic	Verb Type=main VForm=indicative Tense=imperfect Person=first Clitic=yes
02V01010201010000000000	Vmii1s	Verb main indicative imperfect first singular	Verb Type=main VForm=indicative Tense=imperfect Person=first Number=singular
02V01010201020000000000	Vmii1p	Verb main indicative imperfect first plural	Verb Type=main VForm=indicative Tense=imperfect Person=first Number=plural
02V01010202010000000000	Vmii2s	Verb main indicative imperfect second singular	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=singular
02V01010202010000000002	Vmii2s----y	Verb main indicative imperfect second singular +Clitic	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=singular Clitic=yes
02V01010202020000000000	Vmii2p	Verb main indicative imperfect second plural	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=plural
02V01010202020000000002	Vmii2p----y	Verb main indicative imperfect second plural +Clitic	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=plural Clitic=yes
02V01010203010000000000	Vmii3s	Verb main indicative imperfect third singular	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular
02V01010203010000000002	Vmii3s----y	Verb main indicative imperfect third singular +Clitic	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular Clitic=yes
02V01010203020000000000	Vmii3p	Verb main indicative imperfect third plural	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural
02V01010203020000000002	Vmii3p----y	Verb main indicative imperfect third plural +Clitic	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural Clitic=yes
02V01010301010000000000	Vmis1s	Verb main indicative past first singular	Verb Type=main VForm=indicative Tense=past Person=first Number=singular
02V01010301010000000002	Vmis1s----y	Verb main indicative past first singular +Clitic	Verb Type=main VForm=indicative Tense=past Person=first Number=singular Clitic=yes
02V01010301020000000000	Vmis1p	Verb main indicative past first plural	Verb Type=main VForm=indicative Tense=past Person=first Number=plural
02V01010301020000000002	Vmis1p----y	Verb main indicative past first plural +Clitic	Verb Type=main VForm=indicative Tense=past Person=first Number=plural Clitic=yes
02V01010302010000000000	Vmis2s	Verb main indicative past second singular	Verb Type=main VForm=indicative Tense=past Person=second Number=singular
02V01010302010000000002	Vmis2s----y	Verb main indicative past second singular +Clitic	Verb Type=main VForm=indicative Tense=past Person=second Number=singular Clitic=yes
02V01010302020000000000	Vmis2p	Verb main indicative past second plural	Verb Type=main VForm=indicative Tense=past Person=second Number=plural
02V01010302020000000002	Vmis2p----y	Verb main indicative past second plural +Clitic	Verb Type=main VForm=indicative Tense=past Person=second Number=plural Clitic=yes
02V01010303010000000000	Vmis3s	Verb main indicative past third singular	Verb Type=main VForm=indicative Tense=past Person=third Number=singular
02V01010303010000000002	Vmis3s----y	Verb main indicative past third singular +Clitic	Verb Type=main VForm=indicative Tense=past Person=third Number=singular Clitic=yes
02V01010303020000000000	Vmis3p	Verb main indicative past third plural	Verb Type=main VForm=indicative Tense=past Person=third Number=plural
02V01010303020000000002	Vmis3p----y	Verb main indicative past third plural +Clitic	Verb Type=main VForm=indicative Tense=past Person=third Number=plural Clitic=yes
02V01010401010000000000	Vmil1s	Verb main indicative pluperfect first singular	Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=singular
02V01010401010000000002	Vmil1s----y	Verb main indicative pluperfect first singular +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=singular Clitic=yes
02V01010401020000000000	Vmil1p	Verb main indicative pluperfect first plural	Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=plural
02V01010401020000000002	Vmil1p----y	Verb main indicative pluperfect first plural +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=first Number=plural Clitic=yes
02V01010402010000000000	Vmil2s	Verb main indicative pluperfect second singular	Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=singular
02V01010402010000000002	Vmil2s----y	Verb main indicative pluperfect second singular +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=singular Clitic=yes
02V01010402020000000000	Vmil2p	Verb main indicative pluperfect second plural	Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=plural
02V01010402020000000002	Vmil2p----y	Verb main indicative pluperfect second plural +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=second Number=plural Clitic=yes
02V01010403010000000000	Vmil3s	Verb main indicative pluperfect third singular	Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=singular
02V01010403010000000002	Vmil3s----y	Verb main indicative pluperfect third singular +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=singular Clitic=yes
02V01010403020000000000	Vmil3p	Verb main indicative pluperfect third plural	Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=plural
02V01010403020000000002	Vmil3p----y	Verb main indicative pluperfect third plural +Clitic	Verb Type=main VForm=indicative Tense=pluperfect Person=third Number=plural Clitic=yes
02V01020101010000000000	Vmsp1s	Verb main subjunctive present first singular	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular
02V01020101020000000000	Vmsp1p	Verb main subjunctive present first plural	Verb Type=main VForm=subjunctive Tense=present Person=first Number=plural
02V01020102010000000000	Vmsp2s	Verb main subjunctive present second singular	Verb Type=main VForm=subjunctive Tense=present Person=second Number=singular
02V01020102020000000000	Vmsp2p	Verb main subjunctive present second plural	Verb Type=main VForm=subjunctive Tense=present Person=second Number=plural
02V01020103000000000000	Vmsp3	Verb main subjunctive present third	Verb Type=main VForm=subjunctive Tense=present Person=third
02V01020103000000000002	Vmsp3-----y	Verb main subjunctive present third +Clitic	Verb Type=main VForm=subjunctive Tense=present Person=third Clitic=yes
02V01020103010000000000	Vmsp3s	Verb main subjunctive present third singular	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular
02V01020103010000000002	Vmsp3s----y	Verb main subjunctive present third singular +Clitic	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Clitic=yes
02V01030002010000000000	Vmm-2s	Verb main imperative second singular	Verb Type=main VForm=imperative Person=second Number=singular
02V01030002010000000002	Vmm-2s----y	Verb main imperative second singular +Clitic	Verb Type=main VForm=imperative Person=second Number=singular Clitic=yes
02V01030002020000000000	Vmm-2p	Verb main imperative second plural	Verb Type=main VForm=imperative Person=second Number=plural
02V01030002020000000002	Vmm-2p----y	Verb main imperative second plural +Clitic	Verb Type=main VForm=imperative Person=second Number=plural Clitic=yes
02V01040100000000000000	Vmnp	Verb main infinitive present	Verb Type=main VForm=infinitive Tense=present
02V01040100000000000002	Vmnp------y	Verb main infinitive present +Clitic	Verb Type=main VForm=infinitive Tense=present Clitic=yes
02V01050000010100000000	Vmp--sm	Verb main participle singular masculine	Verb Type=main VForm=participle Number=singular Gender=masculine
02V01050000010100000002	Vmp--sm---y	Verb main participle singular masculine +Clitic	Verb Type=main VForm=participle Number=singular Gender=masculine Clitic=yes
02V01060000000000000000	Vmg	Verb main gerund	Verb Type=main VForm=gerund
02V01060000000000000002	Vmg-------y	Verb main gerund +Clitic	Verb Type=main VForm=gerund Clitic=yes
02V02000001000000000000	Va--1	Verb auxiliary first	Verb Type=auxiliary Person=first
02V02000001000000000002	Va--1-----y	Verb auxiliary first +Clitic	Verb Type=auxiliary Person=first Clitic=yes
02V02000001010000000000	Va--1s	Verb auxiliary first singular	Verb Type=auxiliary Person=first Number=singular
02V02000001010000000002	Va--1s----y	Verb auxiliary first singular +Clitic	Verb Type=auxiliary Person=first Number=singular Clitic=yes
02V02000001020000000000	Va--1p	Verb auxiliary first plural	Verb Type=auxiliary Person=first Number=plural
02V02000002010000000000	Va--2s	Verb auxiliary second singular	Verb Type=auxiliary Person=second Number=singular
02V02000002010000000002	Va--2s----y	Verb auxiliary second singular +Clitic	Verb Type=auxiliary Person=second Number=singular Clitic=yes
02V02000002020000000000	Va--2p	Verb auxiliary second plural	Verb Type=auxiliary Person=second Number=plural
02V02000002020000000002	Va--2p----y	Verb auxiliary second plural +Clitic	Verb Type=auxiliary Person=second Number=plural Clitic=yes
02V02000003000000000000	Va--3	Verb auxiliary third	Verb Type=auxiliary Person=third
02V02000003000000000002	Va--3-----y	Verb auxiliary third +Clitic	Verb Type=auxiliary Person=third Clitic=yes
02V02000003010000000000	Va--3s	Verb auxiliary third singular	Verb Type=auxiliary Person=third Number=singular
02V02000003010000000002	Va--3s----y	Verb auxiliary third singular +Clitic	Verb Type=auxiliary Person=third Number=singular Clitic=yes
02V02000003020000000000	Va--3p	Verb auxiliary third plural	Verb Type=auxiliary Person=third Number=plural
02V02000003020000000002	Va--3p----y	Verb auxiliary third plural +Clitic	Verb Type=auxiliary Person=third Number=plural Clitic=yes
02V02040100000000000000	Vanp	Verb auxiliary infinitive present	Verb Type=auxiliary VForm=infinitive Tense=present
03A01010000000000	Afp	Adjective qualificative positive	Adjective Type=qualificative Degree=positive
03A01010002000100	Afp-p-n	Adjective qualificative positive plural -Definiteness	Adjective Type=qualificative Degree=positive Number=plural Definiteness=no
03A01010002000102	Afp-p-ny	Adjective qualificative positive plural -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Number=plural Definiteness=no Clitic=yes
03A01010002030200	Afp-poy	Adjective qualificative positive plural oblique +Definiteness	Adjective Type=qualificative Degree=positive Number=plural Case=oblique Definiteness=yes
03A01010100000100	Afpm--n	Adjective qualificative positive masculine -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Definiteness=no
03A01010101000100	Afpms-n	Adjective qualificative positive masculine singular -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Definiteness=no
03A01010101000102	Afpms-ny	Adjective qualificative positive masculine singular -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Definiteness=no Clitic=yes
03A01010101010100	Afpmsvn	Adjective qualificative positive masculine singular vocative -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=vocative Definiteness=no
03A01010101010200	Afpmsvy	Adjective qualificative positive masculine singular vocative +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=vocative Definiteness=yes
03A01010101020200	Afpmsry	Adjective qualificative positive masculine singular direct +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=direct Definiteness=yes
03A01010101020202	Afpmsryy	Adjective qualificative positive masculine singular direct +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes
03A01010101030200	Afpmsoy	Adjective qualificative positive masculine singular oblique +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=oblique Definiteness=yes
03A01010101030202	Afpmsoyy	Adjective qualificative positive masculine singular oblique +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes
03A01010102000100	Afpmp-n	Adjective qualificative positive masculine plural -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Definiteness=no
03A01010102000102	Afpmp-ny	Adjective qualificative positive masculine plural -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Definiteness=no Clitic=yes
03A01010102020200	Afpmpry	Adjective qualificative positive masculine plural direct +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=direct Definiteness=yes
03A01010102020202	Afpmpryy	Adjective qualificative positive masculine plural direct +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes
03A01010102030200	Afpmpoy	Adjective qualificative positive masculine plural oblique +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=oblique Definiteness=yes
03A01010102030202	Afpmpoyy	Adjective qualificative positive masculine plural oblique +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes
03A01010200000100	Afpf--n	Adjective qualificative positive feminine -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Definiteness=no
03A01010200000102	Afpf--ny	Adjective qualificative positive feminine -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Definiteness=no Clitic=yes
03A01010201010100	Afpfsvn	Adjective qualificative positive feminine singular vocative -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=vocative Definiteness=no
03A01010201010200	Afpfsvy	Adjective qualificative positive feminine singular vocative +Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=vocative Definiteness=yes
03A01010201020100	Afpfsrn	Adjective qualificative positive feminine singular direct -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=direct Definiteness=no
03A01010201020102	Afpfsrny	Adjective qualificative positive feminine singular direct -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes
03A01010201020200	Afpfsry	Adjective qualificative positive feminine singular direct +Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=direct Definiteness=yes
03A01010201020202	Afpfsryy	Adjective qualificative positive feminine singular direct +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes
03A01010201030100	Afpfson	Adjective qualificative positive feminine singular oblique -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=no
03A01010201030102	Afpfsony	Adjective qualificative positive feminine singular oblique -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes
03A01010201030200	Afpfsoy	Adjective qualificative positive feminine singular oblique +Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=yes
03A01010201030202	Afpfsoyy	Adjective qualificative positive feminine singular oblique +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=singular Case=oblique Definiteness=yes Clitic=yes
03A01010202000100	Afpfp-n	Adjective qualificative positive feminine plural -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Definiteness=no
03A01010202000102	Afpfp-ny	Adjective qualificative positive feminine plural -Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Definiteness=no Clitic=yes
03A01010202020200	Afpfpry	Adjective qualificative positive feminine plural direct +Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=direct Definiteness=yes
03A01010202020202	Afpfpryy	Adjective qualificative positive feminine plural direct +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=direct Definiteness=yes Clitic=yes
03A01010202030100	Afpfpon	Adjective qualificative positive feminine plural oblique -Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=no
03A01010202030200	Afpfpoy	Adjective qualificative positive feminine plural oblique +Definiteness	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=yes
03A01010202030202	Afpfpoyy	Adjective qualificative positive feminine plural oblique +Definiteness +Clitic	Adjective Type=qualificative Degree=positive Gender=feminine Number=plural Case=oblique Definiteness=yes Clitic=yes
03A01020101000100	Afcms-n	Adjective qualificative comparative masculine singular -Definiteness	Adjective Type=qualificative Degree=comparative Gender=masculine Number=singular Definiteness=no
03A01020102000100	Afcmp-n	Adjective qualificative comparative masculine plural -Definiteness	Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Definiteness=no
03A01020102020200	Afcmpry	Adjective qualificative comparative masculine plural direct +Definiteness	Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Case=direct Definiteness=yes
03A01020102030200	Afcmpoy	Adjective qualificative comparative masculine plural oblique +Definiteness	Adjective Type=qualificative Degree=comparative Gender=masculine Number=plural Case=oblique Definiteness=yes
03A01020201020100	Afcfsrn	Adjective qualificative comparative feminine singular direct -Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=direct Definiteness=no
03A01020201020200	Afcfsry	Adjective qualificative comparative feminine singular direct +Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=direct Definiteness=yes
03A01020201030100	Afcfson	Adjective qualificative comparative feminine singular oblique -Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=oblique Definiteness=no
03A01020201030200	Afcfsoy	Adjective qualificative comparative feminine singular oblique +Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=singular Case=oblique Definiteness=yes
03A01020202000100	Afcfp-n	Adjective qualificative comparative feminine plural -Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Definiteness=no
03A01020202020200	Afcfpry	Adjective qualificative comparative feminine plural direct +Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Case=direct Definiteness=yes
03A01020202030200	Afcfpoy	Adjective qualificative comparative feminine plural oblique +Definiteness	Adjective Type=qualificative Degree=comparative Gender=feminine Number=plural Case=oblique Definiteness=yes
03A01030000000000	Afs	Adjective qualificative superlative	Adjective Type=qualificative Degree=superlative
03A01030101000100	Afsms-n	Adjective qualificative superlative masculine singular -Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Definiteness=no
03A01030101010200	Afsmsvy	Adjective qualificative superlative masculine singular vocative +Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=vocative Definiteness=yes
03A01030101020200	Afsmsry	Adjective qualificative superlative masculine singular direct +Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=direct Definiteness=yes
03A01030101030200	Afsmsoy	Adjective qualificative superlative masculine singular oblique +Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=singular Case=oblique Definiteness=yes
03A01030102000100	Afsmp-n	Adjective qualificative superlative masculine plural -Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Definiteness=no
03A01030102020200	Afsmpry	Adjective qualificative superlative masculine plural direct +Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Case=direct Definiteness=yes
03A01030102030200	Afsmpoy	Adjective qualificative superlative masculine plural oblique +Definiteness	Adjective Type=qualificative Degree=superlative Gender=masculine Number=plural Case=oblique Definiteness=yes
03A01030201020100	Afsfsrn	Adjective qualificative superlative feminine singular direct -Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=direct Definiteness=no
03A01030201020200	Afsfsry	Adjective qualificative superlative feminine singular direct +Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=direct Definiteness=yes
03A01030201030100	Afsfson	Adjective qualificative superlative feminine singular oblique -Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=oblique Definiteness=no
03A01030201030200	Afsfsoy	Adjective qualificative superlative feminine singular oblique +Definiteness	Adjective Type=qualificative Degree=superlative Gender=feminine Number=singular Case=oblique Definiteness=yes
