01N01000000	Nc	Noun common	Noun Type=common
01N02000113	Np-s5	Noun proper singular abessive	Noun Type=proper Number=singular Case=abessive
01N02000114	Np-sk	Noun proper singular komitative	Noun Type=proper Number=singular Case=komitative
01N02000115	Np-s7	Noun proper singular aditive	Noun Type=proper Number=singular Case=aditive
01N02000201	Np-pn	Noun proper plural nominative	Noun Type=proper Number=plural Case=nominative
01N02000202	Np-pg	Noun proper plural genitive	Noun Type=proper Number=plural Case=genitive
01N02000203	Np-p1	Noun proper plural partitive	Noun Type=proper Number=plural Case=partitive
01N02000204	Np-px	Noun proper plural illative	Noun Type=proper Number=plural Case=illative
01N02000205	Np-p2	Noun proper plural inessive	Noun Type=proper Number=plural Case=inessive
01N02000207	Np-pt	Noun proper plural allative	Noun Type=proper Number=plural Case=allative
01N02000208	Np-p3	Noun proper plural adessive	Noun Type=proper Number=plural Case=adessive
01N02000209	Np-pb	Noun proper plural ablative	Noun Type=proper Number=plural Case=ablative
01N02000211	Np-p9	Noun proper plural terminative	Noun Type=proper Number=plural Case=terminative
02V0100000000000001000000	Vm------n	Verb main -Negative	Verb Type=main Negative=no
02V0101010000000102000000	Vmip---ay	Verb main indicative present active +Negative	Verb Type=main VForm=indicative Tense=present Voice=active Negative=yes
02V0101010000000201000000	Vmip---pn	Verb main indicative present passive -Negative	Verb Type=main VForm=indicative Tense=present Voice=passive Negative=no
02V0101010000000202000000	Vmip---py	Verb main indicative present passive +Negative	Verb Type=main VForm=indicative Tense=present Voice=passive Negative=yes
02V0101010101000101000000	Vmip1s-an	Verb main indicative present first singular active -Negative	Verb Type=main VForm=indicative Tense=present Person=first Number=singular Voice=active Negative=no
02V0101010102000101000000	Vmip1p-an	Verb main indicative present first plural active -Negative	Verb Type=main VForm=indicative Tense=present Person=first Number=plural Voice=active Negative=no
02V0101010201000101000000	Vmip2s-an	Verb main indicative present second singular active -Negative	Verb Type=main VForm=indicative Tense=present Person=second Number=singular Voice=active Negative=no
02V0101010202000101000000	Vmip2p-an	Verb main indicative present second plural active -Negative	Verb Type=main VForm=indicative Tense=present Person=second Number=plural Voice=active Negative=no
02V0101010301000101000000	Vmip3s-an	Verb main indicative present third singular active -Negative	Verb Type=main VForm=indicative Tense=present Person=third Number=singular Voice=active Negative=no
02V0101010302000101000000	Vmip3p-an	Verb main indicative present third plural active -Negative	Verb Type=main VForm=indicative Tense=present Person=third Number=plural Voice=active Negative=no
02V0101020000000102000000	Vmii---ay	Verb main indicative imperfect active +Negative	Verb Type=main VForm=indicative Tense=imperfect Voice=active Negative=yes
02V0101020000000201000000	Vmii---pn	Verb main indicative imperfect passive -Negative	Verb Type=main VForm=indicative Tense=imperfect Voice=passive Negative=no
02V0101020000000202000000	Vmii---py	Verb main indicative imperfect passive +Negative	Verb Type=main VForm=indicative Tense=imperfect Voice=passive Negative=yes
02V0101020101000101000000	Vmii1s-an	Verb main indicative imperfect first singular active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=first Number=singular Voice=active Negative=no
02V0101020102000101000000	Vmii1p-an	Verb main indicative imperfect first plural active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=first Number=plural Voice=active Negative=no
02V0101020201000101000000	Vmii2s-an	Verb main indicative imperfect second singular active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=singular Voice=active Negative=no
02V0101020202000101000000	Vmii2p-an	Verb main indicative imperfect second plural active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=second Number=plural Voice=active Negative=no
02V0101020301000101000000	Vmii3s-an	Verb main indicative imperfect third singular active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular Voice=active Negative=no
02V0101020302000101000000	Vmii3p-an	Verb main indicative imperfect third plural active -Negative	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural Voice=active Negative=no
02V0102010000000201000000	Vmmp---pn	Verb main imperative present passive -Negative	Verb Type=main VForm=imperative Tense=present Voice=passive Negative=no
02V0102010000000202000000	Vmmp---py	Verb main imperative present passive +Negative	Verb Type=main VForm=imperative Tense=present Voice=passive Negative=yes
02V0102010102000101000000	Vmmp1p-an	Verb main imperative present first plural active -Negative	Verb Type=main VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=no
02V0102010102000102000000	Vmmp1p-ay	Verb main imperative present first plural active +Negative	Verb Type=main VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=yes
02V0102010201000101000000	Vmmp2s-an	Verb main imperative present second singular active -Negative	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=no
02V0102010201000102000000	Vmmp2s-ay	Verb main imperative present second singular active +Negative	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=yes
02V0102010202000101000000	Vmmp2p-an	Verb main imperative present second plural active -Negative	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=no
02V0102010202000102000000	Vmmp2p-ay	Verb main imperative present second plural active +Negative	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=yes
02V0102010301000101000000	Vmmp3s-an	Verb main imperative present third singular active -Negative	Verb Type=main VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=no
02V0102010301000102000000	Vmmp3s-ay	Verb main imperative present third singular active +Negative	Verb Type=main VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=yes
02V0102010302000101000000	Vmmp3p-an	Verb main imperative present third plural active -Negative	Verb Type=main VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=no
02V0102010302000102000000	Vmmp3p-ay	Verb main imperative present third plural active +Negative	Verb Type=main VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=yes
02V0103010000000102000000	Vmcp---ay	Verb main conditional present active +Negative	Verb Type=main VForm=conditional Tense=present Voice=active Negative=yes
02V0103010000000201000000	Vmcp---pn	Verb main conditional present passive -Negative	Verb Type=main VForm=conditional Tense=present Voice=passive Negative=no
02V0103010000000202000000	Vmcp---py	Verb main conditional present passive +Negative	Verb Type=main VForm=conditional Tense=present Voice=passive Negative=yes
02V0103010101000101000000	Vmcp1s-an	Verb main conditional present first singular active -Negative	Verb Type=main VForm=conditional Tense=present Person=first Number=singular Voice=active Negative=no
02V0103010102000101000000	Vmcp1p-an	Verb main conditional present first plural active -Negative	Verb Type=main VForm=conditional Tense=present Person=first Number=plural Voice=active Negative=no
02V0103010201000101000000	Vmcp2s-an	Verb main conditional present second singular active -Negative	Verb Type=main VForm=conditional Tense=present Person=second Number=singular Voice=active Negative=no
02V0103010202000101000000	Vmcp2p-an	Verb main conditional present second plural active -Negative	Verb Type=main VForm=conditional Tense=present Person=second Number=plural Voice=active Negative=no
02V0103010301000101000000	Vmcp3s-an	Verb main conditional present third singular active -Negative	Verb Type=main VForm=conditional Tense=present Person=third Number=singular Voice=active Negative=no
02V0103010302000101000000	Vmcp3p-an	Verb main conditional present third plural active -Negative	Verb Type=main VForm=conditional Tense=present Person=third Number=plural Voice=active Negative=no
02V0103030000000102000000	Vmcs---ay	Verb main conditional past active +Negative	Verb Type=main VForm=conditional Tense=past Voice=active Negative=yes
02V0103030000000201000000	Vmcs---pn	Verb main conditional past passive -Negative	Verb Type=main VForm=conditional Tense=past Voice=passive Negative=no
02V0103030000000202000000	Vmcs---py	Verb main conditional past passive +Negative	Verb Type=main VForm=conditional Tense=past Voice=passive Negative=yes
02V0103030101000101000000	Vmcs1s-an	Verb main conditional past first singular active -Negative	Verb Type=main VForm=conditional Tense=past Person=first Number=singular Voice=active Negative=no
02V0103030102000101000000	Vmcs1p-an	Verb main conditional past first plural active -Negative	Verb Type=main VForm=conditional Tense=past Person=first Number=plural Voice=active Negative=no
02V0103030201000101000000	Vmcs2s-an	Verb main conditional past second singular active -Negative	Verb Type=main VForm=conditional Tense=past Person=second Number=singular Voice=active Negative=no
02V0103030202000101000000	Vmcs2p-an	Verb main conditional past second plural active -Negative	Verb Type=main VForm=conditional Tense=past Person=second Number=plural Voice=active Negative=no
02V0103030301000101000000	Vmcs3s-an	Verb main conditional past third singular active -Negative	Verb Type=main VForm=conditional Tense=past Person=third Number=singular Voice=active Negative=no
02V0103030302000101000000	Vmcs3p-an	Verb main conditional past third plural active -Negative	Verb Type=main VForm=conditional Tense=past Person=third Number=plural Voice=active Negative=no
02V0104000000000000000000	Vmn	Verb main infinitive	Verb Type=main VForm=infinitive
02V0105010000000100000000	Vmpp---a	Verb main participle present active	Verb Type=main VForm=participle Tense=present Voice=active
02V0105010000000200000000	Vmpp---p	Verb main participle present passive	Verb Type=main VForm=participle Tense=present Voice=passive
02V0105030000000100000000	Vmps---a	Verb main participle past active	Verb Type=main VForm=participle Tense=past Voice=active
02V0105030000000200000000	Vmps---p	Verb main participle past passive	Verb Type=main VForm=participle Tense=past Voice=passive
02V0106000000000000000000	Vmg	Verb main gerund	Verb Type=main VForm=gerund
02V0107000000000100000001	Vmu----a---x	Verb main supine active illative	Verb Type=main VForm=supine Voice=active Case=illative
02V0107000000000100000002	Vmu----a---2	Verb main supine active inessive	Verb Type=main VForm=supine Voice=active Case=inessive
02V0107000000000100000003	Vmu----a---e	Verb main supine active elative	Verb Type=main VForm=supine Voice=active Case=elative
02V0107000000000100000004	Vmu----a---4	Verb main supine active translative	Verb Type=main VForm=supine Voice=active Case=translative
02V0107000000000100000005	Vmu----a---5	Verb main supine active abessive	Verb Type=main VForm=supine Voice=active Case=abessive
02V0107000000000200000000	Vmu----p	Verb main supine passive	Verb Type=main VForm=supine Voice=passive
02V0108010000000101000000	Vmqp---an	Verb main quotative present active -Negative	Verb Type=main VForm=quotative Tense=present Voice=active Negative=no
02V0108010000000102000000	Vmqp---ay	Verb main quotative present active +Negative	Verb Type=main VForm=quotative Tense=present Voice=active Negative=yes
02V0108010000000201000000	Vmqp---pn	Verb main quotative present passive -Negative	Verb Type=main VForm=quotative Tense=present Voice=passive Negative=no
02V0108010000000202000000	Vmqp---py	Verb main quotative present passive +Negative	Verb Type=main VForm=quotative Tense=present Voice=passive Negative=yes
02V0108030000000201000000	Vmqs---pn	Verb main quotative past passive -Negative	Verb Type=main VForm=quotative Tense=past Voice=passive Negative=no
02V0108030000000202000000	Vmqs---py	Verb main quotative past passive +Negative	Verb Type=main VForm=quotative Tense=past Voice=passive Negative=yes
02V0200000000000002000000	Va------y	Verb auxiliary +Negative	Verb Type=auxiliary Negative=yes
02V0201010000000102000000	Vaip---ay	Verb auxiliary indicative present active +Negative	Verb Type=auxiliary VForm=indicative Tense=present Voice=active Negative=yes
02V0201010000000201000000	Vaip---pn	Verb auxiliary indicative present passive -Negative	Verb Type=auxiliary VForm=indicative Tense=present Voice=passive Negative=no
02V0201010000000202000000	Vaip---py	Verb auxiliary indicative present passive +Negative	Verb Type=auxiliary VForm=indicative Tense=present Voice=passive Negative=yes
02V0201010101000101000000	Vaip1s-an	Verb auxiliary indicative present first singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=singular Voice=active Negative=no
02V0201010102000101000000	Vaip1p-an	Verb auxiliary indicative present first plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=plural Voice=active Negative=no
02V0201010201000101000000	Vaip2s-an	Verb auxiliary indicative present second singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Voice=active Negative=no
02V0201010202000101000000	Vaip2p-an	Verb auxiliary indicative present second plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=plural Voice=active Negative=no
02V0201010301000101000000	Vaip3s-an	Verb auxiliary indicative present third singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Voice=active Negative=no
02V0201010302000101000000	Vaip3p-an	Verb auxiliary indicative present third plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural Voice=active Negative=no
02V0201020000000102000000	Vaii---ay	Verb auxiliary indicative imperfect active +Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Voice=active Negative=yes
02V0201020000000201000000	Vaii---pn	Verb auxiliary indicative imperfect passive -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Voice=passive Negative=no
02V0201020000000202000000	Vaii---py	Verb auxiliary indicative imperfect passive +Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Voice=passive Negative=yes
02V0201020101000101000000	Vaii1s-an	Verb auxiliary indicative imperfect first singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=first Number=singular Voice=active Negative=no
02V0201020102000101000000	Vaii1p-an	Verb auxiliary indicative imperfect first plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=first Number=plural Voice=active Negative=no
02V0201020201000101000000	Vaii2s-an	Verb auxiliary indicative imperfect second singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=second Number=singular Voice=active Negative=no
02V0201020202000101000000	Vaii2p-an	Verb auxiliary indicative imperfect second plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=second Number=plural Voice=active Negative=no
02V0201020301000101000000	Vaii3s-an	Verb auxiliary indicative imperfect third singular active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=third Number=singular Voice=active Negative=no
02V0201020302000101000000	Vaii3p-an	Verb auxiliary indicative imperfect third plural active -Negative	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=third Number=plural Voice=active Negative=no
02V0202010000000202000000	Vamp---py	Verb auxiliary imperative present passive +Negative	Verb Type=auxiliary VForm=imperative Tense=present Voice=passive Negative=yes
02V0202010102000101000000	Vamp1p-an	Verb auxiliary imperative present first plural active -Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=no
02V0202010102000102000000	Vamp1p-ay	Verb auxiliary imperative present first plural active +Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=yes
02V0202010201000101000000	Vamp2s-an	Verb auxiliary imperative present second singular active -Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=no
02V0202010201000102000000	Vamp2s-ay	Verb auxiliary imperative present second singular active +Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=yes
02V0202010202000101000000	Vamp2p-an	Verb auxiliary imperative present second plural active -Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=no
02V0202010202000102000000	Vamp2p-ay	Verb auxiliary imperative present second plural active +Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=yes
02V0202010301000101000000	Vamp3s-an	Verb auxiliary imperative present third singular active -Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=no
02V0202010301000102000000	Vamp3s-ay	Verb auxiliary imperative present third singular active +Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=yes
02V0202010302000101000000	Vamp3p-an	Verb auxiliary imperative present third plural active -Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=no
02V0202010302000102000000	Vamp3p-ay	Verb auxiliary imperative present third plural active +Negative	Verb Type=auxiliary VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=yes
02V0203010000000102000000	Vacp---ay	Verb auxiliary conditional present active +Negative	Verb Type=auxiliary VForm=conditional Tense=present Voice=active Negative=yes
02V0203010101000101000000	Vacp1s-an	Verb auxiliary conditional present first singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=first Number=singular Voice=active Negative=no
02V0203010102000101000000	Vacp1p-an	Verb auxiliary conditional present first plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=first Number=plural Voice=active Negative=no
02V0203010201000101000000	Vacp2s-an	Verb auxiliary conditional present second singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=second Number=singular Voice=active Negative=no
02V0203010202000101000000	Vacp2p-an	Verb auxiliary conditional present second plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=second Number=plural Voice=active Negative=no
02V0203010301000101000000	Vacp3s-an	Verb auxiliary conditional present third singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=third Number=singular Voice=active Negative=no
02V0203010302000101000000	Vacp3p-an	Verb auxiliary conditional present third plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=present Person=third Number=plural Voice=active Negative=no
02V0203030000000102000000	Vacs---ay	Verb auxiliary conditional past active +Negative	Verb Type=auxiliary VForm=conditional Tense=past Voice=active Negative=yes
02V0203030101000101000000	Vacs1s-an	Verb auxiliary conditional past first singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=first Number=singular Voice=active Negative=no
02V0203030102000101000000	Vacs1p-an	Verb auxiliary conditional past first plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=first Number=plural Voice=active Negative=no
02V0203030201000101000000	Vacs2s-an	Verb auxiliary conditional past second singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=second Number=singular Voice=active Negative=no
02V0203030202000101000000	Vacs2p-an	Verb auxiliary conditional past second plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=second Number=plural Voice=active Negative=no
02V0203030301000101000000	Vacs3s-an	Verb auxiliary conditional past third singular active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=third Number=singular Voice=active Negative=no
02V0203030302000101000000	Vacs3p-an	Verb auxiliary conditional past third plural active -Negative	Verb Type=auxiliary VForm=conditional Tense=past Person=third Number=plural Voice=active Negative=no
02V0204000000000000000000	Van	Verb auxiliary infinitive	Verb Type=auxiliary VForm=infinitive
02V0205010000000100000000	Vapp---a	Verb auxiliary participle present active	Verb Type=auxiliary VForm=participle Tense=present Voice=active
02V0205030000000100000000	Vaps---a	Verb auxiliary participle past active	Verb Type=auxiliary VForm=participle Tense=past Voice=active
02V0205030000000200000000	Vaps---p	Verb auxiliary participle past passive	Verb Type=auxiliary VForm=participle Tense=past Voice=passive
02V0206000000000000000000	Vag	Verb auxiliary gerund	Verb Type=auxiliary VForm=gerund
02V0207000000000100000001	Vau----a---x	Verb auxiliary supine active illative	Verb Type=auxiliary VForm=supine Voice=active Case=illative
02V0207000000000100000002	Vau----a---2	Verb auxiliary supine active inessive	Verb Type=auxiliary VForm=supine Voice=active Case=inessive
02V0207000000000100000003	Vau----a---e	Verb auxiliary supine active elative	Verb Type=auxiliary VForm=supine Voice=active Case=elative
02V0207000000000100000005	Vau----a---5	Verb auxiliary supine active abessive	Verb Type=auxiliary VForm=supine Voice=active Case=abessive
02V0208010000000101000000	Vaqp---an	Verb auxiliary quotative present active -Negative	Verb Type=auxiliary VForm=quotative Tense=present Voice=active Negative=no
02V0208010000000102000000	Vaqp---ay	Verb auxiliary quotative present active +Negative	Verb Type=auxiliary VForm=quotative Tense=present Voice=active Negative=yes
02V0301010000000102000000	Voip---ay	Verb modal indicative present active +Negative	Verb Type=modal VForm=indicative Tense=present Voice=active Negative=yes
02V0301010000000201000000	Voip---pn	Verb modal indicative present passive -Negative	Verb Type=modal VForm=indicative Tense=present Voice=passive Negative=no
02V0301010000000202000000	Voip---py	Verb modal indicative present passive +Negative	Verb Type=modal VForm=indicative Tense=present Voice=passive Negative=yes
02V0301010101000101000000	Voip1s-an	Verb modal indicative present first singular active -Negative	Verb Type=modal VForm=indicative Tense=present Person=first Number=singular Voice=active Negative=no
02V0301010102000101000000	Voip1p-an	Verb modal indicative present first plural active -Negative	Verb Type=modal VForm=indicative Tense=present Person=first Number=plural Voice=active Negative=no
02V0301010201000101000000	Voip2s-an	Verb modal indicative present second singular active -Negative	Verb Type=modal VForm=indicative Tense=present Person=second Number=singular Voice=active Negative=no
02V0301010202000101000000	Voip2p-an	Verb modal indicative present second plural active -Negative	Verb Type=modal VForm=indicative Tense=present Person=second Number=plural Voice=active Negative=no
02V0301010301000101000000	Voip3s-an	Verb modal indicative present third singular active -Negative	Verb Type=modal VForm=indicative Tense=present Person=third Number=singular Voice=active Negative=no
02V0301010302000101000000	Voip3p-an	Verb modal indicative present third plural active -Negative	Verb Type=modal VForm=indicative Tense=present Person=third Number=plural Voice=active Negative=no
02V0301020000000102000000	Voii---ay	Verb modal indicative imperfect active +Negative	Verb Type=modal VForm=indicative Tense=imperfect Voice=active Negative=yes
02V0301020000000201000000	Voii---pn	Verb modal indicative imperfect passive -Negative	Verb Type=modal VForm=indicative Tense=imperfect Voice=passive Negative=no
02V0301020000000202000000	Voii---py	Verb modal indicative imperfect passive +Negative	Verb Type=modal VForm=indicative Tense=imperfect Voice=passive Negative=yes
02V0301020101000101000000	Voii1s-an	Verb modal indicative imperfect first singular active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=first Number=singular Voice=active Negative=no
02V0301020102000101000000	Voii1p-an	Verb modal indicative imperfect first plural active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=first Number=plural Voice=active Negative=no
02V0301020201000101000000	Voii2s-an	Verb modal indicative imperfect second singular active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=second Number=singular Voice=active Negative=no
02V0301020202000101000000	Voii2p-an	Verb modal indicative imperfect second plural active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=second Number=plural Voice=active Negative=no
02V0301020301000101000000	Voii3s-an	Verb modal indicative imperfect third singular active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=third Number=singular Voice=active Negative=no
02V0301020302000101000000	Voii3p-an	Verb modal indicative imperfect third plural active -Negative	Verb Type=modal VForm=indicative Tense=imperfect Person=third Number=plural Voice=active Negative=no
02V0302010102000101000000	Vomp1p-an	Verb modal imperative present first plural active -Negative	Verb Type=modal VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=no
02V0302010102000102000000	Vomp1p-ay	Verb modal imperative present first plural active +Negative	Verb Type=modal VForm=imperative Tense=present Person=first Number=plural Voice=active Negative=yes
02V0302010201000101000000	Vomp2s-an	Verb modal imperative present second singular active -Negative	Verb Type=modal VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=no
02V0302010201000102000000	Vomp2s-ay	Verb modal imperative present second singular active +Negative	Verb Type=modal VForm=imperative Tense=present Person=second Number=singular Voice=active Negative=yes
02V0302010202000101000000	Vomp2p-an	Verb modal imperative present second plural active -Negative	Verb Type=modal VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=no
02V0302010202000102000000	Vomp2p-ay	Verb modal imperative present second plural active +Negative	Verb Type=modal VForm=imperative Tense=present Person=second Number=plural Voice=active Negative=yes
02V0302010301000101000000	Vomp3s-an	Verb modal imperative present third singular active -Negative	Verb Type=modal VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=no
02V0302010301000102000000	Vomp3s-ay	Verb modal imperative present third singular active +Negative	Verb Type=modal VForm=imperative Tense=present Person=third Number=singular Voice=active Negative=yes
02V0302010302000101000000	Vomp3p-an	Verb modal imperative present third plural active -Negative	Verb Type=modal VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=no
02V0302010302000102000000	Vomp3p-ay	Verb modal imperative present third plural active +Negative	Verb Type=modal VForm=imperative Tense=present Person=third Number=plural Voice=active Negative=yes
02V0303010000000102000000	Vocp---ay	Verb modal conditional present active +Negative	Verb Type=modal VForm=conditional Tense=present Voice=active Negative=yes
02V0303010000000201000000	Vocp---pn	Verb modal conditional present passive -Negative	Verb Type=modal VForm=conditional Tense=present Voice=passive Negative=no
02V0303010000000202000000	Vocp---py	Verb modal conditional present passive +Negative	Verb Type=modal VForm=conditional Tense=present Voice=passive Negative=yes
02V0303010101000101000000	Vocp1s-an	Verb modal conditional present first singular active -Negative	Verb Type=modal VForm=conditional Tense=present Person=first Number=singular Voice=active Negative=no
02V0303010102000101000000	Vocp1p-an	Verb modal conditional present first plural active -Negative	Verb Type=modal VForm=conditional Tense=present Person=first Number=plural Voice=active Negative=no
02V0303010201000101000000	Vocp2s-an	Verb modal conditional present second singular active -Negative	Verb Type=modal VForm=conditional Tense=present Person=second Number=singular Voice=active Negative=no
02V0303010202000101000000	Vocp2p-an	Verb modal conditional present second plural active -Negative	Verb Type=modal VForm=conditional Tense=present Person=second Number=plural Voice=active Negative=no
02V0303010301000101000000	Vocp3s-an	Verb modal conditional present third singular active -Negative	Verb Type=modal VForm=conditional Tense=present Person=third Number=singular Voice=active Negative=no
02V0303010302000101000000	Vocp3p-an	Verb modal conditional present third plural active -Negative	Verb Type=modal VForm=conditional Tense=present Person=third Number=plural Voice=active Negative=no
