01N01010000000000	Ncm	Noun common masculine	Noun Type=common Gender=masculine
02V010102010200000000000000000100	Vmii1p--------p	Verb main indicative imperfect first plural progressive	Verb Type=main VForm=indicative Tense=imperfect Person=first Number=plural Aspect=progressive
02V010102030100000000000000000100	Vmii3s--------p	Verb main indicative imperfect third singular progressive	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular Aspect=progressive
02V010102030100000000000000000200	Vmii3s--------e	Verb main indicative imperfect third singular perfective	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=singular Aspect=perfective
02V010102030200000000000000000100	Vmii3p--------p	Verb main indicative imperfect third plural progressive	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=plural Aspect=progressive
02V010102030300000000000000000100	Vmii3d--------p	Verb main indicative imperfect third dual progressive	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=dual Aspect=progressive
02V010102030300000000000000000200	Vmii3d--------e	Verb main indicative imperfect third dual perfective	Verb Type=main VForm=indicative Tense=imperfect Person=third Number=dual Aspect=perfective
02V010103030100000000000000000100	Vmif3s--------p	Verb main indicative future third singular progressive	Verb Type=main VForm=indicative Tense=future Person=third Number=singular Aspect=progressive
02V010105030100000100000000000100	Vmia3s--n-----p	Verb main indicative aorist third singular -Negative progressive	Verb Type=main VForm=indicative Tense=aorist Person=third Number=singular Negative=no Aspect=progressive
02V010105030100000100000000000200	Vmia3s--n-----e	Verb main indicative aorist third singular -Negative perfective	Verb Type=main VForm=indicative Tense=aorist Person=third Number=singular Negative=no Aspect=perfective
02V010201010100000000000000000100	Vmsp1s--------p	Verb main subjunctive present first singular progressive	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular Aspect=progressive
02V010201010100000000000000000200	Vmsp1s--------e	Verb main subjunctive present first singular perfective	Verb Type=main VForm=subjunctive Tense=present Person=first Number=singular Aspect=perfective
02V010201030100000000000000000200	Vmsp3s--------e	Verb main subjunctive present third singular perfective	Verb Type=main VForm=subjunctive Tense=present Person=third Number=singular Aspect=perfective
02V010301010200000000000000000100	Vmmp1p--------p	Verb main imperative present first plural progressive	Verb Type=main VForm=imperative Tense=present Person=first Number=plural Aspect=progressive
02V010301010200000000000000000200	Vmmp1p--------e	Verb main imperative present first plural perfective	Verb Type=main VForm=imperative Tense=present Person=first Number=plural Aspect=perfective
02V010301020100000000000000000100	Vmmp2s--------p	Verb main imperative present second singular progressive	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Aspect=progressive
02V010301020100000000000000000200	Vmmp2s--------e	Verb main imperative present second singular perfective	Verb Type=main VForm=imperative Tense=present Person=second Number=singular Aspect=perfective
02V010301020200000000000000000101	Vmmp2p--------pn	Verb main imperative present second plural progressive -Courtesy	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Aspect=progressive Courtesy=no
02V010301020200000000000000000102	Vmmp2p--------py	Verb main imperative present second plural progressive +Courtesy	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Aspect=progressive Courtesy=yes
02V010301020200000000000000000201	Vmmp2p--------en	Verb main imperative present second plural perfective -Courtesy	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Aspect=perfective Courtesy=no
02V010301020200000000000000000202	Vmmp2p--------ey	Verb main imperative present second plural perfective +Courtesy	Verb Type=main VForm=imperative Tense=present Person=second Number=plural Aspect=perfective Courtesy=yes
02V010400000000000000000000000100	Vmn-----------p	Verb main infinitive progressive	Verb Type=main VForm=infinitive Aspect=progressive
02V010400000000000000000000000200	Vmn-----------e	Verb main infinitive perfective	Verb Type=main VForm=infinitive Aspect=perfective
02V010500000000010000000000000100	Vmp----a------p	Verb main participle active progressive	Verb Type=main VForm=participle Voice=active Aspect=progressive
02V010500000000020000000000000200	Vmp----p------e	Verb main participle passive perfective	Verb Type=main VForm=participle Voice=passive Aspect=perfective
02V010500000101020000000000000100	Vmp--smp------p	Verb main participle singular masculine passive progressive	Verb Type=main VForm=participle Number=singular Gender=masculine Voice=passive Aspect=progressive
02V010500000101020000000000000200	Vmp--smp------e	Verb main participle singular masculine passive perfective	Verb Type=main VForm=participle Number=singular Gender=masculine Voice=passive Aspect=perfective
02V010500000102020000000000000100	Vmp--sfp------p	Verb main participle singular feminine passive progressive	Verb Type=main VForm=participle Number=singular Gender=feminine Voice=passive Aspect=progressive
02V010500000102020000000000000200	Vmp--sfp------e	Verb main participle singular feminine passive perfective	Verb Type=main VForm=participle Number=singular Gender=feminine Voice=passive Aspect=perfective
02V010500000103020000000000000200	Vmp--snp------e	Verb main participle singular neuter passive perfective	Verb Type=main VForm=participle Number=singular Gender=neuter Voice=passive Aspect=perfective
02V010504000101010000000000000100	Vmps-sma------p	Verb main participle past singular masculine active progressive	Verb Type=main VForm=participle Tense=past Number=singular Gender=masculine Voice=active Aspect=progressive
02V010504000101010000000000000200	Vmps-sma------e	Verb main participle past singular masculine active perfective	Verb Type=main VForm=participle Tense=past Number=singular Gender=masculine Voice=active Aspect=perfective
02V010504000102010000000000000100	Vmps-sfa------p	Verb main participle past singular feminine active progressive	Verb Type=main VForm=participle Tense=past Number=singular Gender=feminine Voice=active Aspect=progressive
02V010504000102010000000000000200	Vmps-sfa------e	Verb main participle past singular feminine active perfective	Verb Type=main VForm=participle Tense=past Number=singular Gender=feminine Voice=active Aspect=perfective
02V010504000103010000000000000100	Vmps-sna------p	Verb main participle past singular neuter active progressive	Verb Type=main VForm=participle Tense=past Number=singular Gender=neuter Voice=active Aspect=progressive
02V010504000103010000000000000200	Vmps-sna------e	Verb main participle past singular neuter active perfective	Verb Type=main VForm=participle Tense=past Number=singular Gender=neuter Voice=active Aspect=perfective
02V010504000201010000000000000100	Vmps-pma------p	Verb main participle past plural masculine active progressive	Verb Type=main VForm=participle Tense=past Number=plural Gender=masculine Voice=active Aspect=progressive
02V010504000201010000000000000200	Vmps-pma------e	Verb main participle past plural masculine active perfective	Verb Type=main VForm=participle Tense=past Number=plural Gender=masculine Voice=active Aspect=perfective
02V010504000202010000000000000100	Vmps-pfa------p	Verb main participle past plural feminine active progressive	Verb Type=main VForm=participle Tense=past Number=plural Gender=feminine Voice=active Aspect=progressive
02V010504000202010000000000000200	Vmps-pfa------e	Verb main participle past plural feminine active perfective	Verb Type=main VForm=participle Tense=past Number=plural Gender=feminine Voice=active Aspect=perfective
02V010504000203010000000000000200	Vmps-pna------e	Verb main participle past plural neuter active perfective	Verb Type=main VForm=participle Tense=past Number=plural Gender=neuter Voice=active Aspect=perfective
02V010504000301010000000000000100	Vmps-dma------p	Verb main participle past dual masculine active progressive	Verb Type=main VForm=participle Tense=past Number=dual Gender=masculine Voice=active Aspect=progressive
02V010504000301010000000000000200	Vmps-dma------e	Verb main participle past dual masculine active perfective	Verb Type=main VForm=participle Tense=past Number=dual Gender=masculine Voice=active Aspect=perfective
02V010504000302010000000000000100	Vmps-dfa------p	Verb main participle past dual feminine active progressive	Verb Type=main VForm=participle Tense=past Number=dual Gender=feminine Voice=active Aspect=progressive
02V010600000000000000000000000100	Vmu-----------p	Verb main supine progressive	Verb Type=main VForm=supine Aspect=progressive
02V020101010100000100000000000100	Vaip1s--n-----p	Verb auxiliary indicative present first singular -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=singular Negative=no Aspect=progressive
02V020101010200000100000000000100	Vaip1p--n-----p	Verb auxiliary indicative present first plural -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=plural Negative=no Aspect=progressive
02V020101010300000100000000000100	Vaip1d--n-----p	Verb auxiliary indicative present first dual -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=first Number=dual Negative=no Aspect=progressive
02V020101020100000100000000000100	Vaip2s--n-----p	Verb auxiliary indicative present second singular -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Negative=no Aspect=progressive
02V020101020100000200000000000100	Vaip2s--y-----p	Verb auxiliary indicative present second singular +Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=singular Negative=yes Aspect=progressive
02V020101020200000100000000000102	Vaip2p--n-----py	Verb auxiliary indicative present second plural -Negative progressive +Courtesy	Verb Type=auxiliary VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=yes
02V020101030100000100000000000100	Vaip3s--n-----p	Verb auxiliary indicative present third singular -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=progressive
02V020101030100000200000000000100	Vaip3s--y-----p	Verb auxiliary indicative present third singular +Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=singular Negative=yes Aspect=progressive
02V020101030200000100000000000100	Vaip3p--n-----p	Verb auxiliary indicative present third plural -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural Negative=no Aspect=progressive
02V020101030200000200000000000100	Vaip3p--y-----p	Verb auxiliary indicative present third plural +Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=plural Negative=yes Aspect=progressive
02V020101030300000100000000000100	Vaip3d--n-----p	Verb auxiliary indicative present third dual -Negative progressive	Verb Type=auxiliary VForm=indicative Tense=present Person=third Number=dual Negative=no Aspect=progressive
02V020102030100000000000000000100	Vaii3s--------p	Verb auxiliary indicative imperfect third singular progressive	Verb Type=auxiliary VForm=indicative Tense=imperfect Person=third Number=singular Aspect=progressive
02V020103010100000000000000000100	Vaif1s--------p	Verb auxiliary indicative future first singular progressive	Verb Type=auxiliary VForm=indicative Tense=future Person=first Number=singular Aspect=progressive
02V020103020200000100000000000101	Vaif2p--n-----pn	Verb auxiliary indicative future second plural -Negative progressive -Courtesy	Verb Type=auxiliary VForm=indicative Tense=future Person=second Number=plural Negative=no Aspect=progressive Courtesy=no
02V020103030100000000000000000100	Vaif3s--------p	Verb auxiliary indicative future third singular progressive	Verb Type=auxiliary VForm=indicative Tense=future Person=third Number=singular Aspect=progressive
02V020105030100000000000000000100	Vaia3s--------p	Verb auxiliary indicative aorist third singular progressive	Verb Type=auxiliary VForm=indicative Tense=aorist Person=third Number=singular Aspect=progressive
02V020201020200000000000000000102	Vasp2p--------py	Verb auxiliary subjunctive present second plural progressive +Courtesy	Verb Type=auxiliary VForm=subjunctive Tense=present Person=second Number=plural Aspect=progressive Courtesy=yes
02V020201030100000000000000000100	Vasp3s--------p	Verb auxiliary subjunctive present third singular progressive	Verb Type=auxiliary VForm=subjunctive Tense=present Person=third Number=singular Aspect=progressive
02V020400000000000000000000000100	Van-----------p	Verb auxiliary infinitive progressive	Verb Type=auxiliary VForm=infinitive Aspect=progressive
02V020504000101010000000000000100	Vaps-sma------p	Verb auxiliary participle past singular masculine active progressive	Verb Type=auxiliary VForm=participle Tense=past Number=singular Gender=masculine Voice=active Aspect=progressive
02V020504000102010000000000000100	Vaps-sfa------p	Verb auxiliary participle past singular feminine active progressive	Verb Type=auxiliary VForm=participle Tense=past Number=singular Gender=feminine Voice=active Aspect=progressive
02V020504000103010000000000000100	Vaps-sna------p	Verb auxiliary participle past singular neuter active progressive	Verb Type=auxiliary VForm=participle Tense=past Number=singular Gender=neuter Voice=active Aspect=progressive
02V020504000201010000000000000100	Vaps-pma------p	Verb auxiliary participle past plural masculine active progressive	Verb Type=auxiliary VForm=participle Tense=past Number=plural Gender=masculine Voice=active Aspect=progressive
02V020504000202010000000000000100	Vaps-pfa------p	Verb auxiliary participle past plural feminine active progressive	Verb Type=auxiliary VForm=participle Tense=past Number=plural Gender=feminine Voice=active Aspect=progressive
02V030101010100000100000000000100	Voip1s--n-----p	Verb modal indicative present first singular -Negative progressive	Verb Type=modal VForm=indicative Tense=present Person=first Number=singular Negative=no Aspect=progressive
02V030101010200000100000000000100	Voip1p--n-----p	Verb modal indicative present first plural -Negative progressive	Verb Type=modal VForm=indicative Tense=present Person=first Number=plural Negative=no Aspect=progressive
02V030101020100000100000000000100	Voip2s--n-----p	Verb modal indicative present second singular -Negative progressive	Verb Type=modal VForm=indicative Tense=present Person=second Number=singular Negative=no Aspect=progressive
02V030101020200000100000000000101	Voip2p--n-----pn	Verb modal indicative present second plural -Negative progressive -Courtesy	Verb Type=modal VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=no
02V030101020200000100000000000102	Voip2p--n-----py	Verb modal indicative present second plural -Negative progressive +Courtesy	Verb Type=modal VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=yes
02V030101030100000100000000000100	Voip3s--n-----p	Verb modal indicative present third singular -Negative progressive	Verb Type=modal VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=progressive
02V030101030200000200000000000100	Voip3p--y-----p	Verb modal indicative present third plural +Negative progressive	Verb Type=modal VForm=indicative Tense=present Person=third Number=plural Negative=yes Aspect=progressive
02V030102030100000000000000000100	Voii3s--------p	Verb modal indicative imperfect third singular progressive	Verb Type=modal VForm=indicative Tense=imperfect Person=third Number=singular Aspect=progressive
02V030400000000000000000000000100	Von-----------p	Verb modal infinitive progressive	Verb Type=modal VForm=infinitive Aspect=progressive
02V030504000101010000000000000100	Vops-sma------p	Verb modal participle past singular masculine active progressive	Verb Type=modal VForm=participle Tense=past Number=singular Gender=masculine Voice=active Aspect=progressive
02V030504000102010000000000000100	Vops-sfa------p	Verb modal participle past singular feminine active progressive	Verb Type=modal VForm=participle Tense=past Number=singular Gender=feminine Voice=active Aspect=progressive
02V030504000201010000000000000100	Vops-pma------p	Verb modal participle past plural masculine active progressive	Verb Type=modal VForm=participle Tense=past Number=plural Gender=masculine Voice=active Aspect=progressive
02V030504000202010000000000000100	Vops-pfa------p	Verb modal participle past plural feminine active progressive	Verb Type=modal VForm=participle Tense=past Number=plural Gender=feminine Voice=active Aspect=progressive
02V040101010100000100000000000100	Vcip1s--n-----p	Verb copula indicative present first singular -Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=first Number=singular Negative=no Aspect=progressive
02V040101010100000200000000000100	Vcip1s--y-----p	Verb copula indicative present first singular +Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=first Number=singular Negative=yes Aspect=progressive
02V040101020100000100000000000100	Vcip2s--n-----p	Verb copula indicative present second singular -Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=second Number=singular Negative=no Aspect=progressive
02V040101020200000100000000000101	Vcip2p--n-----pn	Verb copula indicative present second plural -Negative progressive -Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=no
02V040101020200000100000000000102	Vcip2p--n-----py	Verb copula indicative present second plural -Negative progressive +Courtesy	Verb Type=copula VForm=indicative Tense=present Person=second Number=plural Negative=no Aspect=progressive Courtesy=yes
02V040101020300000100000000000100	Vcip2d--n-----p	Verb copula indicative present second dual -Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=second Number=dual Negative=no Aspect=progressive
02V040101030100000100000000000100	Vcip3s--n-----p	Verb copula indicative present third singular -Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=progressive
02V040101030100000100000000000200	Vcip3s--n-----e	Verb copula indicative present third singular -Negative perfective	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Negative=no Aspect=perfective
02V040101030100000200000000000100	Vcip3s--y-----p	Verb copula indicative present third singular +Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=third Number=singular Negative=yes Aspect=progressive
02V040101030200000100000000000100	Vcip3p--n-----p	Verb copula indicative present third plural -Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=third Number=plural Negative=no Aspect=progressive
02V040101030200000200000000000100	Vcip3p--y-----p	Verb copula indicative present third plural +Negative progressive	Verb Type=copula VForm=indicative Tense=present Person=third Number=plural Negative=yes Aspect=progressive
02V040102030100000000000000000100	Vcii3s--------p	Verb copula indicative imperfect third singular progressive	Verb Type=copula VForm=indicative Tense=imperfect Person=third Number=singular Aspect=progressive
02V040102030200000000000000000100	Vcii3p--------p	Verb copula indicative imperfect third plural progressive	Verb Type=copula VForm=indicative Tense=imperfect Person=third Number=plural Aspect=progressive
02V040105030100000000000000000100	Vcia3s--------p	Verb copula indicative aorist third singular progressive	Verb Type=copula VForm=indicative Tense=aorist Person=third Number=singular Aspect=progressive
02V040201030100000000000000000100	Vcsp3s--------p	Verb copula subjunctive present third singular progressive	Verb Type=copula VForm=subjunctive Tense=present Person=third Number=singular Aspect=progressive
02V040301020200000000000000000101	Vcmp2p--------pn	Verb copula imperative present second plural progressive -Courtesy	Verb Type=copula VForm=imperative Tense=present Person=second Number=plural Aspect=progressive Courtesy=no
02V040400000000000000000000000100	Vcn-----------p	Verb copula infinitive progressive	Verb Type=copula VForm=infinitive Aspect=progressive
02V040504000101010000000000000100	Vcps-sma------p	Verb copula participle past singular masculine active progressive	Verb Type=copula VForm=participle Tense=past Number=singular Gender=masculine Voice=active Aspect=progressive
02V040504000102010000000000000100	Vcps-sfa------p	Verb copula participle past singular feminine active progressive	Verb Type=copula VForm=participle Tense=past Number=singular Gender=feminine Voice=active Aspect=progressive
02V040504000103010000000000000100	Vcps-sna------p	Verb copula participle past singular neuter active progressive	Verb Type=copula VForm=participle Tense=past Number=singular Gender=neuter Voice=active Aspect=progressive
02V040504000201010000000000000100	Vcps-pma------p	Verb copula participle past plural masculine active progressive	Verb Type=copula VForm=participle Tense=past Number=plural Gender=masculine Voice=active Aspect=progressive
02V040504000202010000000000000100	Vcps-pfa------p	Verb copula participle past plural feminine active progressive	Verb Type=copula VForm=participle Tense=past Number=plural Gender=feminine Voice=active Aspect=progressive
03A0101000000000000	Afp	Adjective qualificative positive	Adjective Type=qualificative Degree=positive
03A0101010101010000	Afpmsnn	Adjective qualificative positive masculine singular nominative -Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=nominative Definiteness=no
03A0101010101020000	Afpmsny	Adjective qualificative positive masculine singular nominative +Definiteness	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=nominative Definiteness=yes
03A0101010102000000	Afpmsg	Adjective qualificative positive masculine singular genitive	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=genitive
03A0101010103000000	Afpmsd	Adjective qualificative positive masculine singular dative	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=dative
03A0101010104000001	Afpmsa--n	Adjective qualificative positive masculine singular accusative -Animate	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=accusative Animate=no
03A0101010104000002	Afpmsa--y	Adjective qualificative positive masculine singular accusative +Animate	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=accusative Animate=yes
03A0101010104010001	Afpmsan-n	Adjective qualificative positive masculine singular accusative -Definiteness -Animate	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=accusative Definiteness=no Animate=no
03A0101010104020001	Afpmsay-n	Adjective qualificative positive masculine singular accusative +Definiteness -Animate	Adjective Type=qualificative Degree=positive Gender=masculine Number=singular Case=accusative Definiteness=yes Animate=no
03A0101010201000000	Afpmpn	Adjective qualificative positive masculine plural nominative	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=nominative
03A0101010202000000	Afpmpg	Adjective qualificative positive masculine plural genitive	Adjective Type=qualificative Degree=positive Gender=masculine Number=plural Case=genitive
