01N010000000000	Nc	Noun common	Noun Type=common
01N010201060100	Ncfsln	Noun common feminine singular locative -Animate	Noun Type=common Gender=feminine Number=singular Case=locative Animate=no
01N010201060200	Ncfsly	Noun common feminine singular locative +Animate	Noun Type=common Gender=feminine Number=singular Case=locative Animate=yes
01N010201070100	Ncfsin	Noun common feminine singular instrumental -Animate	Noun Type=common Gender=feminine Number=singular Case=instrumental Animate=no
01N010201070200	Ncfsiy	Noun common feminine singular instrumental +Animate	Noun Type=common Gender=feminine Number=singular Case=instrumental Animate=yes
01N010202010100	Ncfpnn	Noun common feminine plural nominative -Animate	Noun Type=common Gender=feminine Number=plural Case=nominative Animate=no
01N010202010200	Ncfpny	Noun common feminine plural nominative +Animate	Noun Type=common Gender=feminine Number=plural Case=nominative Animate=yes
01N010202020100	Ncfpgn	Noun common feminine plural genitive -Animate	Noun Type=common Gender=feminine Number=plural Case=genitive Animate=no
01N010202020200	Ncfpgy	Noun common feminine plural genitive +Animate	Noun Type=common Gender=feminine Number=plural Case=genitive Animate=yes
01N010202030100	Ncfpdn	Noun common feminine plural dative -Animate	Noun Type=common Gender=feminine Number=plural Case=dative Animate=no
01N010202030200	Ncfpdy	Noun common feminine plural dative +Animate	Noun Type=common Gender=feminine Number=plural Case=dative Animate=yes
01N010202040100	Ncfpan	Noun common feminine plural accusative -Animate	Noun Type=common Gender=feminine Number=plural Case=accusative Animate=no
01N010202040200	Ncfpay	Noun common feminine plural accusative +Animate	Noun Type=common Gender=feminine Number=plural Case=accusative Animate=yes
01N010202060100	Ncfpln	Noun common feminine plural locative -Animate	Noun Type=common Gender=feminine Number=plural Case=locative Animate=no
01N010202060200	Ncfply	Noun common feminine plural locative +Animate	Noun Type=common Gender=feminine Number=plural Case=locative Animate=yes
01N010202070100	Ncfpin	Noun common feminine plural instrumental -Animate	Noun Type=common Gender=feminine Number=plural Case=instrumental Animate=no
01N010202070200	Ncfpiy	Noun common feminine plural instrumental +Animate	Noun Type=common Gender=feminine Number=plural Case=instrumental Animate=yes
01N010301010100	Ncnsnn	Noun common neuter singular nominative -Animate	Noun Type=common Gender=neuter Number=singular Case=nominative Animate=no
01N010301010200	Ncnsny	Noun common neuter singular nominative +Animate	Noun Type=common Gender=neuter Number=singular Case=nominative Animate=yes
01N010301020100	Ncnsgn	Noun common neuter singular genitive -Animate	Noun Type=common Gender=neuter Number=singular Case=genitive Animate=no
01N010301020200	Ncnsgy	Noun common neuter singular genitive +Animate	Noun Type=common Gender=neuter Number=singular Case=genitive Animate=yes
01N010301030100	Ncnsdn	Noun common neuter singular dative -Animate	Noun Type=common Gender=neuter Number=singular Case=dative Animate=no
01N010301030200	Ncnsdy	Noun common neuter singular dative +Animate	Noun Type=common Gender=neuter Number=singular Case=dative Animate=yes
01N010301040100	Ncnsan	Noun common neuter singular accusative -Animate	Noun Type=common Gender=neuter Number=singular Case=accusative Animate=no
01N010301040200	Ncnsay	Noun common neuter singular accusative +Animate	Noun Type=common Gender=neuter Number=singular Case=accusative Animate=yes
01N010301060100	Ncnsln	Noun common neuter singular locative -Animate	Noun Type=common Gender=neuter Number=singular Case=locative Animate=no
01N010301060200	Ncnsly	Noun common neuter singular locative +Animate	Noun Type=common Gender=neuter Number=singular Case=locative Animate=yes
01N010301070100	Ncnsin	Noun common neuter singular instrumental -Animate	Noun Type=common Gender=neuter Number=singular Case=instrumental Animate=no
01N010301070200	Ncnsiy	Noun common neuter singular instrumental +Animate	Noun Type=common Gender=neuter Number=singular Case=instrumental Animate=yes
01N010302010100	Ncnpnn	Noun common neuter plural nominative -Animate	Noun Type=common Gender=neuter Number=plural Case=nominative Animate=no
01N010302010200	Ncnpny	Noun common neuter plural nominative +Animate	Noun Type=common Gender=neuter Number=plural Case=nominative Animate=yes
01N010302020100	Ncnpgn	Noun common neuter plural genitive -Animate	Noun Type=common Gender=neuter Number=plural Case=genitive Animate=no
01N010302020200	Ncnpgy	Noun common neuter plural genitive +Animate	Noun Type=common Gender=neuter Number=plural Case=genitive Animate=yes
01N010302030100	Ncnpdn	Noun common neuter plural dative -Animate	Noun Type=common Gender=neuter Number=plural Case=dative Animate=no
01N010302030200	Ncnpdy	Noun common neuter plural dative +Animate	Noun Type=common Gender=neuter Number=plural Case=dative Animate=yes
01N010302040100	Ncnpan	Noun common neuter plural accusative -Animate	Noun Type=common Gender=neuter Number=plural Case=accusative Animate=no
01N010302040200	Ncnpay	Noun common neuter plural accusative +Animate	Noun Type=common Gender=neuter Number=plural Case=accusative Animate=yes
01N010302060100	Ncnpln	Noun common neuter plural locative -Animate	Noun Type=common Gender=neuter Number=plural Case=locative Animate=no
01N010302060200	Ncnply	Noun common neuter plural locative +Animate	Noun Type=common Gender=neuter Number=plural Case=locative Animate=yes
01N010302070100	Ncnpin	Noun common neuter plural instrumental -Animate	Noun Type=common Gender=neuter Number=plural Case=instrumental Animate=no
01N010302070200	Ncnpiy	Noun common neuter plural instrumental +Animate	Noun Type=common Gender=neuter Number=plural Case=instrumental Animate=yes
01N010401010200	Nccsny	Noun common common singular nominative +Animate	Noun Type=common Gender=common Number=singular Case=nominative Animate=yes
01N010401020200	Nccsgy	Noun common common singular genitive +Animate	Noun Type=common Gender=common Number=singular Case=genitive Animate=yes
01N010401030200	Nccsdy	Noun common common singular dative +Animate	Noun Type=common Gender=common Number=singular Case=dative Animate=yes
01N010401040200	Nccsay	Noun common common singular accusative +Animate	Noun Type=common Gender=common Number=singular Case=accusative Animate=yes
01N010401070200	Nccsiy	Noun common common singular instrumental +Animate	Noun Type=common Gender=common Number=singular Case=instrumental Animate=yes
01N010402010200	Nccpny	Noun common common plural nominative +Animate	Noun Type=common Gender=common Number=plural Case=nominative Animate=yes
01N010402020200	Nccpgy	Noun common common plural genitive +Animate	Noun Type=common Gender=common Number=plural Case=genitive Animate=yes
01N010402030200	Nccpdy	Noun common common plural dative +Animate	Noun Type=common Gender=common Number=plural Case=dative Animate=yes
01N010402040200	Nccpay	Noun common common plural accusative +Animate	Noun Type=common Gender=common Number=plural Case=accusative Animate=yes
01N010402060200	Nccply	Noun common common plural locative +Animate	Noun Type=common Gender=common Number=plural Case=locative Animate=yes
01N010402070200	Nccpiy	Noun common common plural instrumental +Animate	Noun Type=common Gender=common Number=plural Case=instrumental Animate=yes
01N020101010100	Npmsnn	Noun proper masculine singular nominative -Animate	Noun Type=proper Gender=masculine Number=singular Case=nominative Animate=no
01N020101010200	Npmsny	Noun proper masculine singular nominative +Animate	Noun Type=proper Gender=masculine Number=singular Case=nominative Animate=yes
01N020101020200	Npmsgy	Noun proper masculine singular genitive +Animate	Noun Type=proper Gender=masculine Number=singular Case=genitive Animate=yes
01N020101030200	Npmsdy	Noun proper masculine singular dative +Animate	Noun Type=proper Gender=masculine Number=singular Case=dative Animate=yes
01N020101040100	Npmsan	Noun proper masculine singular accusative -Animate	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=no
01N020101040200	Npmsay	Noun proper masculine singular accusative +Animate	Noun Type=proper Gender=masculine Number=singular Case=accusative Animate=yes
01N020101060200	Npmsly	Noun proper masculine singular locative +Animate	Noun Type=proper Gender=masculine Number=singular Case=locative Animate=yes
01N020101070200	Npmsiy	Noun proper masculine singular instrumental +Animate	Noun Type=proper Gender=masculine Number=singular Case=instrumental Animate=yes
01N020102010200	Npmpny	Noun proper masculine plural nominative +Animate	Noun Type=proper Gender=masculine Number=plural Case=nominative Animate=yes
01N020102020200	Npmpgy	Noun proper masculine plural genitive +Animate	Noun Type=proper Gender=masculine Number=plural Case=genitive Animate=yes
01N020102030200	Npmpdy	Noun proper masculine plural dative +Animate	Noun Type=proper Gender=masculine Number=plural Case=dative Animate=yes
01N020102040200	Npmpay	Noun proper masculine plural accusative +Animate	Noun Type=proper Gender=masculine Number=plural Case=accusative Animate=yes
01N020102060200	Npmply	Noun proper masculine plural locative +Animate	Noun Type=proper Gender=masculine Number=plural Case=locative Animate=yes
01N020102070200	Npmpiy	Noun proper masculine plural instrumental +Animate	Noun Type=proper Gender=masculine Number=plural Case=instrumental Animate=yes
01N020201010200	Npfsny	Noun proper feminine singular nominative +Animate	Noun Type=proper Gender=feminine Number=singular Case=nominative Animate=yes
01N020201020200	Npfsgy	Noun proper feminine singular genitive +Animate	Noun Type=proper Gender=feminine Number=singular Case=genitive Animate=yes
01N020201030200	Npfsdy	Noun proper feminine singular dative +Animate	Noun Type=proper Gender=feminine Number=singular Case=dative Animate=yes
01N020201040200	Npfsay	Noun proper feminine singular accusative +Animate	Noun Type=proper Gender=feminine Number=singular Case=accusative Animate=yes
01N020201060100	Npfsln	Noun proper feminine singular locative -Animate	Noun Type=proper Gender=feminine Number=singular Case=locative Animate=no
01N020201060200	Npfsly	Noun proper feminine singular locative +Animate	Noun Type=proper Gender=feminine Number=singular Case=locative Animate=yes
01N020201070200	Npfsiy	Noun proper feminine singular instrumental +Animate	Noun Type=proper Gender=feminine Number=singular Case=instrumental Animate=yes
01N020202020200	Npfpgy	Noun proper feminine plural genitive +Animate	Noun Type=proper Gender=feminine Number=plural Case=genitive Animate=yes
01N020202030200	Npfpdy	Noun proper feminine plural dative +Animate	Noun Type=proper Gender=feminine Number=plural Case=dative Animate=yes
01N020202040200	Npfpay	Noun proper feminine plural accusative +Animate	Noun Type=proper Gender=feminine Number=plural Case=accusative Animate=yes
01N020202070200	Npfpiy	Noun proper feminine plural instrumental +Animate	Noun Type=proper Gender=feminine Number=plural Case=instrumental Animate=yes
01N020401010200	Npcsny	Noun proper common singular nominative +Animate	Noun Type=proper Gender=common Number=singular Case=nominative Animate=yes
01N020401020200	Npcsgy	Noun proper common singular genitive +Animate	Noun Type=proper Gender=common Number=singular Case=genitive Animate=yes
01N020401030200	Npcsdy	Noun proper common singular dative +Animate	Noun Type=proper Gender=common Number=singular Case=dative Animate=yes
01N020401040200	Npcsay	Noun proper common singular accusative +Animate	Noun Type=proper Gender=common Number=singular Case=accusative Animate=yes
01N020401060200	Npcsly	Noun proper common singular locative +Animate	Noun Type=proper Gender=common Number=singular Case=locative Animate=yes
01N020401070200	Npcsiy	Noun proper common singular instrumental +Animate	Noun Type=proper Gender=common Number=singular Case=instrumental Animate=yes
01N020402010200	Npcpny	Noun proper common plural nominative +Animate	Noun Type=proper Gender=common Number=plural Case=nominative Animate=yes
01N020402020200	Npcpgy	Noun proper common plural genitive +Animate	Noun Type=proper Gender=common Number=plural Case=genitive Animate=yes
01N020402040200	Npcpay	Noun proper common plural accusative +Animate	Noun Type=proper Gender=common Number=plural Case=accusative Animate=yes
01N020402070200	Npcpiy	Noun proper common plural instrumental +Animate	Noun Type=proper Gender=common Number=plural Case=instrumental Animate=yes
02V01000000000000000000	Vm	Verb main	Verb Type=main
02V01000000000000000003	Vm--------d	Verb main dative	Verb Type=main Case=dative
02V01000000000000020000	Vm------f	Verb main full-art	Verb Type=main Definiteness=full-art
02V01000000000003020000	Vm-----mf	Verb main medial full-art	Verb Type=main Voice=medial Definiteness=full-art
02V01000000010300000003	Vm---sn---d	Verb main singular neuter dative	Verb Type=main Number=singular Gender=neuter Case=dative
02V01000001020000000100	Vm--1p---p	Verb main first plural progressive	Verb Type=main Person=first Number=plural Aspect=progressive
02V01000100010101020101	Vm-p-smafpn	Verb main present singular masculine active full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=masculine Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010102020101	Vm-p-smpfpn	Verb main present singular masculine passive full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=masculine Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010103020101	Vm-p-smmfpn	Verb main present singular masculine medial full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=masculine Voice=medial Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010201020101	Vm-p-sfafpn	Verb main present singular feminine active full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010201020104	Vm-p-sfafpa	Verb main present singular feminine active full-art progressive accusative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=progressive Case=accusative
02V01000100010202010100	Vm-p-sfpsp	Verb main present singular feminine passive short-art progressive	Verb Type=main Tense=present Number=singular Gender=feminine Voice=passive Definiteness=short-art Aspect=progressive
02V01000100010202020101	Vm-p-sfpfpn	Verb main present singular feminine passive full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010202020104	Vm-p-sfpfpa	Verb main present singular feminine passive full-art progressive accusative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=passive Definiteness=full-art Aspect=progressive Case=accusative
02V01000100010203020101	Vm-p-sfmfpn	Verb main present singular feminine medial full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=medial Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010203020104	Vm-p-sfmfpa	Verb main present singular feminine medial full-art progressive accusative	Verb Type=main Tense=present Number=singular Gender=feminine Voice=medial Definiteness=full-art Aspect=progressive Case=accusative
02V01000100010301020101	Vm-p-snafpn	Verb main present singular neuter active full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010301020102	Vm-p-snafpg	Verb main present singular neuter active full-art progressive genitive	Verb Type=main Tense=present Number=singular Gender=neuter Voice=active Definiteness=full-art Aspect=progressive Case=genitive
02V01000100010301020103	Vm-p-snafpd	Verb main present singular neuter active full-art progressive dative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=active Definiteness=full-art Aspect=progressive Case=dative
02V01000100010302010100	Vm-p-snpsp	Verb main present singular neuter passive short-art progressive	Verb Type=main Tense=present Number=singular Gender=neuter Voice=passive Definiteness=short-art Aspect=progressive
02V01000100010302020101	Vm-p-snpfpn	Verb main present singular neuter passive full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010302020102	Vm-p-snpfpg	Verb main present singular neuter passive full-art progressive genitive	Verb Type=main Tense=present Number=singular Gender=neuter Voice=passive Definiteness=full-art Aspect=progressive Case=genitive
02V01000100010302020103	Vm-p-snpfpd	Verb main present singular neuter passive full-art progressive dative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=passive Definiteness=full-art Aspect=progressive Case=dative
02V01000100010303020101	Vm-p-snmfpn	Verb main present singular neuter medial full-art progressive nominative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=medial Definiteness=full-art Aspect=progressive Case=nominative
02V01000100010303020102	Vm-p-snmfpg	Verb main present singular neuter medial full-art progressive genitive	Verb Type=main Tense=present Number=singular Gender=neuter Voice=medial Definiteness=full-art Aspect=progressive Case=genitive
02V01000100010303020103	Vm-p-snmfpd	Verb main present singular neuter medial full-art progressive dative	Verb Type=main Tense=present Number=singular Gender=neuter Voice=medial Definiteness=full-art Aspect=progressive Case=dative
02V01000100020001020101	Vm-p-p-afpn	Verb main present plural active full-art progressive nominative	Verb Type=main Tense=present Number=plural Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000100020001020106	Vm-p-p-afpi	Verb main present plural active full-art progressive instrumental	Verb Type=main Tense=present Number=plural Voice=active Definiteness=full-art Aspect=progressive Case=instrumental
02V01000100020002010100	Vm-p-p-psp	Verb main present plural passive short-art progressive	Verb Type=main Tense=present Number=plural Voice=passive Definiteness=short-art Aspect=progressive
02V01000100020002020101	Vm-p-p-pfpn	Verb main present plural passive full-art progressive nominative	Verb Type=main Tense=present Number=plural Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000100020002020106	Vm-p-p-pfpi	Verb main present plural passive full-art progressive instrumental	Verb Type=main Tense=present Number=plural Voice=passive Definiteness=full-art Aspect=progressive Case=instrumental
02V01000100020003020101	Vm-p-p-mfpn	Verb main present plural medial full-art progressive nominative	Verb Type=main Tense=present Number=plural Voice=medial Definiteness=full-art Aspect=progressive Case=nominative
02V01000100020003020106	Vm-p-p-mfpi	Verb main present plural medial full-art progressive instrumental	Verb Type=main Tense=present Number=plural Voice=medial Definiteness=full-art Aspect=progressive Case=instrumental
02V01000100020301020106	Vm-p-pnafpi	Verb main present plural neuter active full-art progressive instrumental	Verb Type=main Tense=present Number=plural Gender=neuter Voice=active Definiteness=full-art Aspect=progressive Case=instrumental
02V01000100020302020106	Vm-p-pnpfpi	Verb main present plural neuter passive full-art progressive instrumental	Verb Type=main Tense=present Number=plural Gender=neuter Voice=passive Definiteness=full-art Aspect=progressive Case=instrumental
02V01000100020303020106	Vm-p-pnmfpi	Verb main present plural neuter medial full-art progressive instrumental	Verb Type=main Tense=present Number=plural Gender=neuter Voice=medial Definiteness=full-art Aspect=progressive Case=instrumental
02V01000101010001000100	Vm-p1s-a-p	Verb main present first singular active progressive	Verb Type=main Tense=present Person=first Number=singular Voice=active Aspect=progressive
02V01000101020001000100	Vm-p1p-a-p	Verb main present first plural active progressive	Verb Type=main Tense=present Person=first Number=plural Voice=active Aspect=progressive
02V01000102010001000100	Vm-p2s-a-p	Verb main present second singular active progressive	Verb Type=main Tense=present Person=second Number=singular Voice=active Aspect=progressive
02V01000102020001000100	Vm-p2p-a-p	Verb main present second plural active progressive	Verb Type=main Tense=present Person=second Number=plural Voice=active Aspect=progressive
02V01000103010001000100	Vm-p3s-a-p	Verb main present third singular active progressive	Verb Type=main Tense=present Person=third Number=singular Voice=active Aspect=progressive
02V01000103010003000100	Vm-p3s-m-p	Verb main present third singular medial progressive	Verb Type=main Tense=present Person=third Number=singular Voice=medial Aspect=progressive
02V01000103020001000100	Vm-p3p-a-p	Verb main present third plural active progressive	Verb Type=main Tense=present Person=third Number=plural Voice=active Aspect=progressive
02V01000201010001000200	Vm-f1s-a-e	Verb main future first singular active perfective	Verb Type=main Tense=future Person=first Number=singular Voice=active Aspect=perfective
02V01000201020001000200	Vm-f1p-a-e	Verb main future first plural active perfective	Verb Type=main Tense=future Person=first Number=plural Voice=active Aspect=perfective
02V01000202010001000200	Vm-f2s-a-e	Verb main future second singular active perfective	Verb Type=main Tense=future Person=second Number=singular Voice=active Aspect=perfective
02V01000202010003000200	Vm-f2s-m-e	Verb main future second singular medial perfective	Verb Type=main Tense=future Person=second Number=singular Voice=medial Aspect=perfective
02V01000202020001000200	Vm-f2p-a-e	Verb main future second plural active perfective	Verb Type=main Tense=future Person=second Number=plural Voice=active Aspect=perfective
02V01000203010001000200	Vm-f3s-a-e	Verb main future third singular active perfective	Verb Type=main Tense=future Person=third Number=singular Voice=active Aspect=perfective
02V01000203020001000200	Vm-f3p-a-e	Verb main future third plural active perfective	Verb Type=main Tense=future Person=third Number=plural Voice=active Aspect=perfective
02V01000300010101000100	Vm-s-sma-p	Verb main past singular masculine active progressive	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Aspect=progressive
02V01000300010101000200	Vm-s-sma-e	Verb main past singular masculine active perfective	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Aspect=perfective
02V01000300010101020100	Vm-s-smafp	Verb main past singular masculine active full-art progressive	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Definiteness=full-art Aspect=progressive
02V01000300010101020101	Vm-s-smafpn	Verb main past singular masculine active full-art progressive nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000300010101020200	Vm-s-smafe	Verb main past singular masculine active full-art perfective	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Definiteness=full-art Aspect=perfective
02V01000300010101020201	Vm-s-smafen	Verb main past singular masculine active full-art perfective nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=active Definiteness=full-art Aspect=perfective Case=nominative
02V01000300010102010100	Vm-s-smpsp	Verb main past singular masculine passive short-art progressive	Verb Type=main Tense=past Number=singular Gender=masculine Voice=passive Definiteness=short-art Aspect=progressive
02V01000300010102010200	Vm-s-smpse	Verb main past singular masculine passive short-art perfective	Verb Type=main Tense=past Number=singular Gender=masculine Voice=passive Definiteness=short-art Aspect=perfective
02V01000300010102020101	Vm-s-smpfpn	Verb main past singular masculine passive full-art progressive nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000300010102020201	Vm-s-smpfen	Verb main past singular masculine passive full-art perfective nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=passive Definiteness=full-art Aspect=perfective Case=nominative
02V01000300010103020101	Vm-s-smmfpn	Verb main past singular masculine medial full-art progressive nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=medial Definiteness=full-art Aspect=progressive Case=nominative
02V01000300010103020201	Vm-s-smmfen	Verb main past singular masculine medial full-art perfective nominative	Verb Type=main Tense=past Number=singular Gender=masculine Voice=medial Definiteness=full-art Aspect=perfective Case=nominative
02V01000300010201000100	Vm-s-sfa-p	Verb main past singular feminine active progressive	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Aspect=progressive
02V01000300010201000200	Vm-s-sfa-e	Verb main past singular feminine active perfective	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Aspect=perfective
02V01000300010201020101	Vm-s-sfafpn	Verb main past singular feminine active full-art progressive nominative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=progressive Case=nominative
02V01000300010201020104	Vm-s-sfafpa	Verb main past singular feminine active full-art progressive accusative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=progressive Case=accusative
02V01000300010201020200	Vm-s-sfafe	Verb main past singular feminine active full-art perfective	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=perfective
02V01000300010201020201	Vm-s-sfafen	Verb main past singular feminine active full-art perfective nominative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=perfective Case=nominative
02V01000300010201020204	Vm-s-sfafea	Verb main past singular feminine active full-art perfective accusative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=active Definiteness=full-art Aspect=perfective Case=accusative
02V01000300010202010100	Vm-s-sfpsp	Verb main past singular feminine passive short-art progressive	Verb Type=main Tense=past Number=singular Gender=feminine Voice=passive Definiteness=short-art Aspect=progressive
02V01000300010202010200	Vm-s-sfpse	Verb main past singular feminine passive short-art perfective	Verb Type=main Tense=past Number=singular Gender=feminine Voice=passive Definiteness=short-art Aspect=perfective
02V01000300010202020101	Vm-s-sfpfpn	Verb main past singular feminine passive full-art progressive nominative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=passive Definiteness=full-art Aspect=progressive Case=nominative
02V01000300010202020104	Vm-s-sfpfpa	Verb main past singular feminine passive full-art progressive accusative	Verb Type=main Tense=past Number=singular Gender=feminine Voice=passive Definiteness=full-art Aspect=progressive Case=accusative
